RK,Team,W,L,T,PCT,H,R,HR,TB,RBI,BB,SB,AVG,K,QS,CG,W,L,SV,ERA,WHIP
1,Mookie Monsters,158,100,30,0.601,1348,758,228,2352,740,481,109,0.2772,1553,139,7,107,77,96,3.701,1.18
2,Delray Beach Air Biscuits,159,112,17,0.582,1302,762,188,2134,668,533,92,0.2795,1370,120,6,93,72,125,3.799,1.214
3,Bel Air GMY's,143,112,33,0.554,1364,690,191,2261,627,453,102,0.2838,1827,164,10,115,105,68,3.55,1.24
4,Smokin' Bases,136,121,31,0.526,1287,709,203,2231,741,491,72,0.281,1585,139,5,105,98,65,3.811,1.25
5,Harper Barely Know Her,131,129,28,0.503,1238,749,258,2308,808,493,42,0.2702,1500,133,7,100,101,70,4.023,1.262
6,RollieFingers YerMom,116,132,40,0.472,1224,656,218,2167,736,418,88,0.2667,1618,142,1,103,96,79,3.985,1.314
7,Napoli Headed Hoes,114,141,33,0.453,1313,685,181,2182,695,504,74,0.2889,1525,135,4,105,107,71,4.14,1.319
8,Magic Man,114,146,28,0.444,1228,653,193,2079,683,462,68,0.2685,1700,127,10,100,115,52,4.194,1.316
9,Pedroia Owns U,109,147,32,0.434,1266,703,194,2147,629,489,63,0.2827,1477,140,5,109,90,76,3.793,1.277
10,Buck Showalter,109,149,30,0.431,1249,655,194,2091,640,406,81,0.2675,1345,123,3,105,80,112,3.994,1.277
