year,round,pick,overall,team,player_name,keeper
2016,1,1,0,Magic Man,Bryce Harper,False
2016,1,2,0,Delray Beach Air Biscuits,Mike Trout,False
2016,1,3,0,Napoli  Headed Hoes,Paul Goldschmidt,False
2016,1,4,0,Bel Air GMY's,Clayton Kershaw,False
2016,1,5,0,Buck Showalter,Manny Machado,False
2016,1,6,0,Smokin' Bases,Giancarlo Stanton,False
2016,1,7,0,Mookie Monsters,Max Scherzer,False
2016,1,8,0,RollieFingers YerMom,Jose Altuve,False
2016,1,9,0,Harper Barely Know Her,Nolan Arenado,False
2016,1,10,0,Pedroia Owns U,Andrew McCutchen,False
2016,2,1,0,Pedroia Owns U,Josh Donaldson,False
2016,2,2,0,Harper Barely Know Her,Jose Bautista,False
2016,2,3,0,RollieFingers YerMom,Carlos Correa,False
2016,2,4,0,Mookie Monsters,Mookie Betts,False
2016,2,5,0,Smokin' Bases,Anthony Rizzo,False
2016,2,6,0,Buck Showalter,Jake Arrieta,False
2016,2,7,0,Bel Air GMY's,Miguel Cabrera,False
2016,2,8,0,Napoli  Headed Hoes,Jose Abreu,False
2016,2,9,0,Delray Beach Air Biscuits,Dee Gordon,False
2016,2,10,0,Magic Man,Chris Sale,False
2016,3,1,0,Magic Man,David Price,False
2016,3,2,0,Delray Beach Air Biscuits,Kris Bryant,False
2016,3,3,0,Napoli  Headed Hoes,J.D. Martinez,False
2016,3,4,0,Bel Air GMY's,Madison Bumgarner,False
2016,3,5,0,Buck Showalter,Matt Harvey,False
2016,3,6,0,Smokin' Bases,Charlie Blackmon,False
2016,3,7,0,Mookie Monsters,Joey Votto,False
2016,3,8,0,RollieFingers YerMom,Jacob deGrom,False
2016,3,9,0,Harper Barely Know Her,Edwin Encarnacion,False
2016,3,10,0,Pedroia Owns U,Gerrit Cole,False
2016,4,1,0,Pedroia Owns U,Corey Kluber,False
2016,4,2,0,Harper Barely Know Her,Chris Davis,False
2016,4,3,0,RollieFingers YerMom,Justin Upton,False
2016,4,4,0,Mookie Monsters,Dallas Keuchel,False
2016,4,5,0,Smokin' Bases,Buster Posey,False
2016,4,6,0,Buck Showalter,Miguel Sano,False
2016,4,7,0,Bel Air GMY's,Starling Marte,False
2016,4,8,0,Napoli  Headed Hoes,A.J. Pollock,False
2016,4,9,0,Delray Beach Air Biscuits,George Springer,False
2016,4,10,0,Magic Man,Nelson Cruz,False
2016,5,1,0,Magic Man,Troy Tulowitzki,False
2016,5,2,0,Delray Beach Air Biscuits,Zack Greinke,False
2016,5,3,0,Napoli  Headed Hoes,Matt Carpenter,False
2016,5,4,0,Bel Air GMY's,Robinson Cano,False
2016,5,5,0,Buck Showalter,Noah Syndergaard,False
2016,5,6,0,Smokin' Bases,Stephen Strasburg,False
2016,5,7,0,Mookie Monsters,Brian Dozier,False
2016,5,8,0,RollieFingers YerMom,Felix Hernandez,False
2016,5,9,0,Harper Barely Know Her,Carlos Gomez,False
2016,5,10,0,Pedroia Owns U,Adam Jones,False
2016,6,1,0,Pedroia Owns U,,False
2016,6,2,0,Harper Barely Know Her,Craig Kimbrel,False
2016,6,3,0,RollieFingers YerMom,Todd Frazier,False
2016,6,4,0,Mookie Monsters,Yoenis Cespedes,False
2016,6,5,0,Smokin' Bases,Sonny Gray,False
2016,6,6,0,Buck Showalter,Kyle Schwarber,False
2016,6,7,0,Bel Air GMY's,Lorenzo Cain,False
2016,6,8,0,Napoli  Headed Hoes,Chris Archer,False
2016,6,9,0,Delray Beach Air Biscuits,Kenley Jansen,False
2016,6,10,0,Magic Man,Prince Fielder,False
2016,7,1,0,Magic Man,Johnny Cueto,False
2016,7,2,0,Delray Beach Air Biscuits,Jeurys Familia,False
2016,7,3,0,Napoli  Headed Hoes,Xander Bogaerts,False
2016,7,4,0,Bel Air GMY's,Carlos Carrasco,False
2016,7,5,0,Buck Showalter,Adam Wainwright,False
2016,7,6,0,Smokin' Bases,Wade Davis,False
2016,7,7,0,Mookie Monsters,Maikel Franco,False
2016,7,8,0,RollieFingers YerMom,Eric Hosmer,False
