year,team,player_name,position,eligible_slots,pro_team
2016,Pedroia Owns U,Andrew McCutchen,1B/3B,"OF,CF,UTIL,BE,IL",Pit
2016,Pedroia Owns U,Josh Donaldson,SS,"3B,1B/3B,DH,UTIL,BE,IL,IF",Tor
2016,Pedroia Owns U,Gerrit Cole,C,"P,SP,BE,IL",Pit
2016,Pedroia Owns U,Corey Kluber,C,"P,SP,BE,IL",Cle
2016,Pedroia Owns U,Jose Fernandez,C,"P,SP,BE,IL",Mia
2016,Pedroia Owns U,Freddie Freeman,2B,"1B,1B/3B,UTIL,BE,IL,IF",Atl
2016,Pedroia Owns U,Ian Desmond,OF,"SS,OF,2B/SS,LF,CF,UTIL,BE,IL,IF",Col
2016,Pedroia Owns U,Jordan Zimmermann,C,"P,SP,BE,IL",Det
2016,Pedroia Owns U,Dustin Pedroia,3B,"2B,2B/SS,UTIL,BE,IL,IF",Bos
2016,Pedroia Owns U,Marco Estrada,C,"P,SP,BE,IL",Tor
2016,Pedroia Owns U,Rich Hill,C,"P,SP,BE,IL",LAD
2016,Pedroia Owns U,Jeanmar Gomez,RF,"P,RP,BE,IL",Phi
2016,Pedroia Owns U,Adam Conley,C,"P,SP,BE,IL",Mia
2016,Pedroia Owns U,Jackie Bradley Jr.,LF,"OF,CF,RF,UTIL,BE,IL",Bos
2016,Pedroia Owns U,Sam Dyson,RF,"P,RP,BE,IL",Tex
2016,Pedroia Owns U,Carlos Beltran,LF,"OF,RF,DH,UTIL,BE,IL",Hou
2016,Pedroia Owns U,Jerad Eickhoff,C,"P,SP,BE,IL",Phi
2016,Pedroia Owns U,Tyler Anderson,C,"P,SP,BE,IL",Col
2016,Pedroia Owns U,Willson Contreras,1B,"C,OF,LF,UTIL,BE,IL",ChC
2016,Pedroia Owns U,Jake Lamb,SS,"3B,1B/3B,UTIL,BE,IL,IF",Ari
2016,Pedroia Owns U,Hisashi Iwakuma,C,"P,SP,BE,IL",Sea
2016,Pedroia Owns U,Jameson Taillon,C,"P,SP,BE,IL",Pit
2016,Pedroia Owns U,Yasmany Tomas,LF,"3B,OF,1B/3B,LF,RF,UTIL,BE,IL,IF",Ari
2016,Pedroia Owns U,Mike Napoli,2B,"1B,1B/3B,DH,UTIL,BE,IL,IF",Cle
2016,Pedroia Owns U,Hector Santiago,C,"P,SP,BE,IL",Min
2016,Pedroia Owns U,Chad Kuhl,C,"P,SP,BE,IL",Pit
2016,Magic Man,Bryce Harper,LF,"OF,RF,UTIL,BE,IL",Wsh
2016,Magic Man,Chris Sale,C,"P,SP,BE,IL",Bos
2016,Magic Man,David Price,C,"P,SP,BE,IL",Bos
2016,Magic Man,Nelson Cruz,LF,"OF,RF,DH,UTIL,BE,IL",Sea
2016,Magic Man,Troy Tulowitzki,OF,"SS,2B/SS,UTIL,BE,IL,IF",Tor
2016,Magic Man,Johnny Cueto,C,"P,SP,BE,IL",SF
2016,Magic Man,Adrian Gonzalez,2B,"1B,1B/3B,UTIL,BE,IL,IF",LAD
2016,Magic Man,DJ LeMahieu,3B,"2B,2B/SS,UTIL,BE,IL,IF",Col
