year,week,team,opponent,cats_won,cats_lost,cats_tied,H_value,H_result,R_value,R_result,HR_value,HR_result,TB_value,TB_result,RBI_value,RBI_result,BB_value,BB_result,SB_value,SB_result,AVG_value,AVG_result,K_value,K_result,QS_value,QS_result,W_value,W_result,L_value,L_result,SV_value,SV_result,HD_value,HD_result,ERA_value,ERA_result,WHIP_value,WHIP_result
2023,3,Delray Beach Air Biscuits,Soto Baggins,10,5,1,47.0,-1,27.0,1,8.0,1,81.0,1,29.0,1,17.0,1,6.0,1,0.21860465,-1,59.0,-1,3.0,0,0.0,-1,3.0,1,2.0,1,1.0,-1,3.375,1,1.05357143,1
2023,3,Buck Showalter,Lisa dANN,9,6,1,56.0,1,42.0,1,14.0,1,107.0,1,33.0,1,28.0,1,4.0,-1,0.26540284,1,67.0,-1,5.0,-1,4.0,-1,7.0,0,1.0,-1,1.0,1,4.28971963,1,1.37383178,-1
2023,3,Lisa dANN,Buck Showalter,6,9,1,51.0,-1,31.0,-1,8.0,-1,90.0,-1,24.0,-1,15.0,-1,5.0,1,0.23394495,-1,85.0,1,6.0,1,9.0,1,7.0,0,2.0,1,0.0,-1,5.54372624,-1,1.28897338,1
2023,3,Cream City Cowtippers,Goldschmidt Happens,8,8,0,50.0,1,32.0,1,4.0,-1,76.0,-1,30.0,1,21.0,-1,11.0,1,0.22321429,-1,77.0,1,5.0,1,5.0,1,4.0,-1,3.0,1,0.0,-1,3.43032787,-1,1.18032787,-1
2023,3,Goldschmidt Happens,Cream City Cowtippers,8,8,0,43.0,-1,29.0,-1,14.0,1,92.0,1,24.0,-1,27.0,1,4.0,-1,0.22994652,1,57.0,-1,4.0,-1,4.0,-1,2.0,1,2.0,-1,1.0,1,2.92771084,1,0.81325301,1
2023,3,MOArch Redbirds,The G.O.A.T,5,10,1,45.0,-1,29.0,0,7.0,-1,81.0,-1,32.0,1,23.0,1,3.0,-1,0.22277228,-1,85.0,1,2.0,-1,7.0,1,5.0,-1,3.0,-1,1.0,1,5.55882353,-1,1.36134454,-1
2023,3,The G.O.A.T,MOArch Redbirds,10,5,1,51.0,1,29.0,0,10.0,1,94.0,1,26.0,-1,22.0,-1,7.0,1,0.22972973,1,80.0,-1,5.0,1,4.0,-1,3.0,1,11.0,1,0.0,-1,2.72368421,1,0.90789474,1
2023,3,Daisy + Shay Bel-Airs,Smokin' Bases,11,5,0,55.0,-1,35.0,1,9.0,1,96.0,1,31.0,1,23.0,-1,4.0,1,0.28350515,1,75.0,1,8.0,1,1.0,-1,5.0,-1,3.0,1,0.0,-1,2.57727273,1,0.87272727,1
2023,3,Smokin' Bases,Daisy + Shay Bel-Airs,5,11,0,59.0,1,31.0,-1,6.0,-1,88.0,-1,30.0,-1,24.0,1,2.0,-1,0.26576577,-1,74.0,-1,5.0,-1,6.0,1,4.0,1,1.0,-1,1.0,1,3.9955157,-1,1.39910314,-1
2023,4,Delray Beach Air Biscuits,Lisa dANN,5,9,2,46.0,-1,22.0,-1,4.0,-1,68.0,-1,21.0,-1,15.0,-1,3.0,-1,0.23115578,-1,63.0,-1,5.0,1,6.0,1,4.0,1,3.0,0,1.0,0,4.06626506,1,1.22891566,1
2023,4,Lisa dANN,Delray Beach Air Biscuits,9,5,2,66.0,1,41.0,1,12.0,1,121.0,1,33.0,1,24.0,1,10.0,1,0.28695652,1,81.0,1,3.0,-1,5.0,-1,6.0,-1,3.0,0,1.0,0,6.90995261,-1,1.53554502,-1
2023,4,Goldschmidt Happens,Soto Baggins,11,5,0,56.0,1,33.0,1,11.0,1,105.0,1,27.0,1,20.0,1,9.0,1,0.25570776,1,74.0,-1,4.0,-1,3.0,-1,4.0,-1,4.0,1,1.0,-1,3.32512315,1,1.09359606,1
2023,4,Soto Baggins,Goldschmidt Happens,5,11,0,42.0,-1,30.0,-1,6.0,-1,66.0,-1,15.0,-1,18.0,-1,1.0,-1,0.21428571,-1,85.0,1,7.0,1,6.0,1,3.0,1,0.0,-1,3.0,1,3.79264214,-1,1.39464883,-1
2023,4,The G.O.A.T,Buck Showalter,9,5,2,65.0,1,25.0,-1,6.0,-1,95.0,1,22.0,-1,18.0,-1,7.0,0,0.29816514,1,85.0,1,7.0,1,6.0,0,3.0,1,5.0,1,0.0,-1,3.32701422,1,1.03791469,1
2023,4,Buck Showalter,The G.O.A.T,5,9,2,52.0,-1,27.0,1,9.0,1,88.0,-1,24.0,1,24.0,1,7.0,0,0.25615764,-1,73.0,-1,4.0,-1,6.0,0,5.0,-1,3.0,-1,1.0,1,6.01310044,-1,1.46724891,-1
2023,4,Smokin' Bases,Cream City Cowtippers,10,5,1,67.0,1,38.0,1,10.0,1,113.0,1,38.0,1,25.0,1,2.0,-1,0.30454545,1,87.0,1,4.0,0,3.0,-1,7.0,-1,1.0,-1,2.0,1,3.9486166,1,1.35177866,-1
2023,4,Cream City Cowtippers,Smokin' Bases,5,10,1,33.0,-1,22.0,-1,4.0,-1,60.0,-1,25.0,-1,18.0,-1,3.0,1,0.16751269,-1,73.0,-1,4.0,0,7.0,1,4.0,1,3.0,1,0.0,-1,4.37837838,-1,1.17567568,1
2023,4,Daisy + Shay Bel-Airs,MOArch Redbirds,12,1,3,44.0,1,24.0,1,6.0,0,73.0,1,22.0,1,19.0,-1,1.0,0,0.23783784,1,75.0,1,6.0,1,8.0,1,3.0,1,4.0,1,1.0,0,2.2699115,1,0.95575221,1
2023,4,MOArch Redbirds,Daisy + Shay Bel-Airs,1,12,3,38.0,-1,19.0,-1,6.0,0,66.0,-1,19.0,-1,25.0,1,1.0,0,0.2,-1,72.0,-1,3.0,-1,2.0,-1,5.0,-1,3.0,-1,1.0,0,4.37142857,-1,1.21428571,-1
2023,5,Goldschmidt Happens,Delray Beach Air Biscuits,12,3,1,62.0,1,33.0,1,12.0,1,115.0,1,47.0,1,21.0,-1,5.0,0,0.27074236,1,63.0,-1,5.0,1,3.0,1,2.0,1,5.0,1,1.0,-1,2.953125,1,1.265625,1
2023,5,Delray Beach Air Biscuits,Goldschmidt Happens,3,12,1,46.0,-1,26.0,-1,8.0,-1,83.0,-1,31.0,-1,22.0,1,5.0,0,0.22222222,-1,65.0,1,3.0,-1,1.0,-1,6.0,-1,2.0,-1,2.0,1,4.15384615,-1,1.38461538,-1
2023,5,Lisa dANN,The G.O.A.T,8,8,0,55.0,-1,33.0,-1,11.0,1,104.0,-1,28.0,-1,25.0,1,6.0,1,0.25943396,-1,91.0,1,5.0,1,5.0,1,6.0,-1,2.0,1,0.0,-1,4.62256809,-1,1.20233463,1
2023,5,The G.O.A.T,Lisa dANN,8,8,0,64.0,1,39.0,1,10.0,-1,110.0,1,38.0,1,24.0,-1,2.0,-1,0.30188679,1,84.0,-1,4.0,-1,2.0,-1,3.0,1,1.0,-1,2.0,1,3.75336323,1,1.22421525,-1
2023,5,Soto Baggins,Smokin' Bases,3,12,1,57.0,-1,32.0,-1,7.0,-1,93.0,-1,31.0,1,20.0,-1,3.0,1,0.24463519,-1,69.0,-1,5.0,-1,3.0,-1,2.0,1,0.0,-1,0.0,0,5.1322314,-1,1.37603306,-1
2023,5,Smokin' Bases,Soto Baggins,12,3,1,71.0,1,35.0,1,8.0,1,109.0,1,28.0,-1,21.0,1,1.0,-1,0.32718894,1,86.0,1,7.0,1,6.0,1,4.0,-1,3.0,1,0.0,0,3.33333333,1,1.01234568,1
2023,5,Buck Showalter,Daisy + Shay Bel-Airs,10,6,0,59.0,1,39.0,1,12.0,1,114.0,1,40.0,1,25.0,-1,0.0,-1,0.26940639,1,68.0,-1,7.0,1,4.0,-1,3.0,1,1.0,-1,1.0,-1,3.39795918,1,1.15306122,1
2023,5,Daisy + Shay Bel-Airs,Buck Showalter,6,10,0,48.0,-1,28.0,-1,6.0,-1,79.0,-1,26.0,-1,27.0,1,4.0,1,0.24742268,-1,82.0,1,6.0,-1,5.0,1,4.0,-1,5.0,1,2.0,1,4.40625,-1,1.41666667,-1
