RK,Team,W,L,T,PCT,H,R,HR,TB,RBI,BB,SB,AVG,K,QS,W,L,SV,HD,ERA,WHIP
1,Cream City Cowtippers,174,94,20,0.639,1283,815,215,2226,725,534,181,0.2756,1628,116,111,83,58,5,4.098,1.235
2,The G.O.A.T,154,116,18,0.566,1168,622,191,2043,596,402,134,0.2628,1869,123,98,87,61,20,3.77,1.245
3,Smokin' Bases,153,115,20,0.566,1348,724,191,2227,673,493,74,0.2815,1669,114,93,90,68,30,3.863,1.261
4,Daisy + Shay Bel-Airs,141,126,21,0.526,1202,640,172,2013,600,502,118,0.2702,1637,128,117,103,96,11,3.881,1.235
5,Lisa dANN,136,132,20,0.507,1171,691,226,2118,696,431,161,0.2542,1742,127,112,117,72,21,4.382,1.279
6,Goldschmidt Happens,134,138,16,0.493,1140,649,195,1980,697,480,116,0.2518,1572,112,95,92,67,36,3.842,1.201
7,Buck Showalter,123,146,19,0.46,1252,702,214,2196,712,478,73,0.2637,1616,117,95,99,40,40,4.342,1.267
8,Soto Baggins,121,146,21,0.457,1180,662,228,2115,686,537,65,0.2588,1740,126,112,95,9,39,4.206,1.297
9,Delray Beach Air Biscuits,109,157,22,0.417,1108,637,154,1845,579,374,135,0.2475,1467,88,87,89,87,21,4.059,1.276
10,MOArch Redbirds,99,174,15,0.37,1137,639,196,1970,643,479,46,0.2572,1589,97,102,107,47,39,4.467,1.26
