year,team,player_name,position,eligible_slots,pro_team
2023,The G.O.A.T,Jose Ramirez,SS,"3B,1B/3B,IF,DH,UTIL,BE,IL",Cle
2023,The G.O.A.T,Fernando Tatis Jr.,OF,"SS,2B/SS,IF,UTIL,BE,IL,RF,OF",SD
2023,The G.O.A.T,Spencer Strider,C,"P,SP,RP,BE,IL",Atl
2023,The G.O.A.T,Dylan Cease,C,"P,SP,BE,IL",ChW
2023,The G.O.A.T,Jazz Chisholm Jr.,3B,"2B,2B/SS,IF,UTIL,BE,IL,CF,OF",Mia
2023,The G.O.A.T,Luis Robert Jr.,1B/3B,"CF,OF,UTIL,BE,IL",ChW
2023,The G.O.A.T,Zac Gallen,C,"P,SP,BE,IL",Ari
2023,The G.O.A.T,Josh Hader,RF,"P,RP,BE,IL",FA
2023,The G.O.A.T,Lucas Giolito,C,"P,SP,BE,IL",Bos
2023,The G.O.A.T,Tyler Glasnow,C,"P,SP,BE,IL",LAD
2023,The G.O.A.T,Wander Franco,OF,"SS,2B/SS,IF,UTIL,BE,IL",TB
2023,The G.O.A.T,Sonny Gray,C,"P,SP,BE,IL",StL
2023,The G.O.A.T,Mitch Keller,C,"P,SP,BE,IL",Pit
2023,The G.O.A.T,Eury Perez,C,"P,SP,BE,IL",Mia
2023,The G.O.A.T,Josh Naylor,2B,"1B,1B/3B,IF,DH,UTIL,BE,IL",Cle
2023,The G.O.A.T,A.J. Minter,RF,"P,RP,BE,IL",Atl
2023,The G.O.A.T,Tarik Skubal,C,"P,SP,BE,IL",Det
2023,The G.O.A.T,Trevor Story,3B,"2B,2B/SS,IF,UTIL,BE,IL,SS",Bos
2023,The G.O.A.T,Bryan Reynolds,1B/3B,"CF,OF,UTIL,BE,IL,LF,DH",Pit
2023,The G.O.A.T,Kyle Finnegan,RF,"P,RP,BE,IL",Wsh
2023,The G.O.A.T,Cal Raleigh,1B,"C,UTIL,BE,IL,DH",Sea
