year,round,pick,overall,team,player_name,keeper
2023,1,1,0,Lisa dANN,Shohei Ohtani,False
2023,1,2,0,Buck Showalter,Vladimir Guerrero Jr.,False
2023,1,3,0,Smokin' Bases,Aaron Judge,False
2023,1,4,0,Delray Beach Air Biscuits,Trea Turner,False
2023,1,5,0,Cream City Cowtippers,Ronald Acuna Jr.,False
2023,1,6,0,Soto Baggins,Juan Soto,False
2023,1,7,0,MOArch Redbirds,Corbin Burnes,False
2023,1,8,0,The G.O.A.T,Jose Ramirez,False
2023,1,9,0,Goldschmidt Happens,Julio Rodriguez,False
2023,1,10,0,Daisy + Shay Bel-Airs,Kyle Tucker,False
2023,2,1,0,Daisy + Shay Bel-Airs,Mookie Betts,False
2023,2,2,0,Goldschmidt Happens,Sandy Alcantara,False
2023,2,3,0,The G.O.A.T,Fernando Tatis Jr.,False
2023,2,4,0,MOArch Redbirds,Yordan Alvarez,False
2023,2,5,0,Soto Baggins,Mike Trout,False
2023,2,6,0,Cream City Cowtippers,Max Scherzer,False
2023,2,7,0,Delray Beach Air Biscuits,Gerrit Cole,False
2023,2,8,0,Smokin' Bases,Rafael Devers,False
2023,2,9,0,Buck Showalter,Freddie Freeman,False
2023,2,10,0,Lisa dANN,Bobby Witt Jr.,False
2023,3,1,0,Lisa dANN,Manny Machado,False
2023,3,2,0,Buck Showalter,Shane Bieber,False
2023,3,3,0,Smokin' Bases,Bo Bichette,False
2023,3,4,0,Delray Beach Air Biscuits,Brandon Woodruff,False
2023,3,5,0,Cream City Cowtippers,Justin Verlander,False
2023,3,6,0,Soto Baggins,Pete Alonso,False
2023,3,7,0,MOArch Redbirds,Austin Riley,False
2023,3,8,0,The G.O.A.T,Spencer Strider,False
2023,3,9,0,Goldschmidt Happens,Paul Goldschmidt,False
2023,3,10,0,Daisy + Shay Bel-Airs,Aaron Nola,False
2023,4,1,0,Daisy + Shay Bel-Airs,Shane McClanahan,False
2023,4,2,0,Goldschmidt Happens,Jacob deGrom,False
2023,4,3,0,The G.O.A.T,Dylan Cease,False
2023,4,4,0,MOArch Redbirds,Kevin Gausman,False
2023,4,5,0,Soto Baggins,Nolan Arenado,False
2023,4,6,0,Cream City Cowtippers,Matt Olson,False
2023,4,7,0,Delray Beach Air Biscuits,J.T. Realmuto,False
2023,4,8,0,Smokin' Bases,Zack Wheeler,False
2023,4,9,0,Buck Showalter,Marcus Semien,False
2023,4,10,0,Lisa dANN,Julio Urias,False
2023,5,1,0,Lisa dANN,Ozzie Albies,False
2023,5,2,0,Buck Showalter,Kyle Schwarber,False
2023,5,3,0,Smokin' Bases,Yu Darvish,False
2023,5,4,0,Delray Beach Air Biscuits,Alek Manoah,False
2023,5,5,0,Cream City Cowtippers,Francisco Lindor,False
2023,5,6,0,Soto Baggins,Corey Seager,False
2023,5,7,0,MOArch Redbirds,Adley Rutschman,False
2023,5,8,0,The G.O.A.T,Jazz Chisholm Jr.,False
2023,5,9,0,Goldschmidt Happens,Max Fried,False
2023,5,10,0,Daisy + Shay Bel-Airs,Michael Harris II,False
2023,6,1,0,Daisy + Shay Bel-Airs,Emmanuel Clase,False
2023,6,2,0,Goldschmidt Happens,Cedric Mullins,False
2023,6,3,0,The G.O.A.T,Luis Robert Jr.,False
2023,6,4,0,MOArch Redbirds,Jake Cronenworth,False
2023,6,5,0,Soto Baggins,George Springer,False
2023,6,6,0,Cream City Cowtippers,Cristian Javier,False
2023,6,7,0,Delray Beach Air Biscuits,Luis Castillo,False
2023,6,8,0,Smokin' Bases,Bryan Reynolds,False
2023,6,9,0,Buck Showalter,Framber Valdez,False
2023,6,10,0,Lisa dANN,Logan Webb,False
2023,7,1,0,Lisa dANN,Corbin Carroll,False
2023,7,2,0,Buck Showalter,Salvador Perez,False
2023,7,3,0,Smokin' Bases,Nathaniel Lowe,False
2023,7,4,0,Delray Beach Air Biscuits,Daulton Varsho,False
2023,7,5,0,Cream City Cowtippers,Will Smith,False
2023,7,6,0,Soto Baggins,Anthony Santander,False
2023,7,7,0,MOArch Redbirds,Nestor Cortes,False
2023,7,8,0,The G.O.A.T,Zac Gallen,False
2023,7,9,0,Goldschmidt Happens,Alex Bregman,False
2023,7,10,0,Daisy + Shay Bel-Airs,Tommy Edman,False
2023,8,1,0,Daisy + Shay Bel-Airs,Jose Abreu,False
2023,8,2,0,Goldschmidt Happens,George Kirby,False
2023,8,3,0,The G.O.A.T,Eloy Jimenez,False
2023,8,4,0,MOArch Redbirds,C.J. Cron,False
2023,8,5,0,Soto Baggins,MJ Melendez,False
2023,8,6,0,Cream City Cowtippers,Devin Williams,False
2023,8,7,0,Delray Beach Air Biscuits,Starling Marte,False
2023,8,8,0,Smokin' Bases,Randy Arozarena,False
2023,8,9,0,Buck Showalter,Dansby Swanson,False
2023,8,10,0,Lisa dANN,Joe Musgrove,False
2023,9,1,0,Lisa dANN,Jose Miranda,False
2023,9,2,0,Buck Showalter,Gunnar Henderson,False
2023,9,3,0,Smokin' Bases,Robbie Ray,False
2023,9,4,0,Delray Beach Air Biscuits,Ryan Pressly,False
2023,9,5,0,Cream City Cowtippers,Christian Yelich,False
2023,9,6,0,Soto Baggins,Bryce Harper,False
