RK,Team,W,L,T,PCT,H,R,HR,TB,RBI,BB,SB,AVG,K,QS,W,L,SV,HD,ERA,WHIP
1,Smokin' Bases,152,112,24,0.569,1212,713,210,2122,704,492,56,0.2729,1641,97,105,88,51,23,3.759,1.179
2,Daisy + Shay Bel-Airs,151,112,25,0.568,1123,644,176,1936,591,471,47,0.2674,1729,117,102,86,76,13,3.754,1.18
3,Comeback Tour,150,122,16,0.549,1218,724,246,2210,710,444,70,0.2656,1585,101,92,101,49,35,3.987,1.233
4,Buck Showalter,144,127,17,0.53,1160,694,216,2094,634,500,88,0.2599,1670,125,113,87,44,17,3.681,1.181
5,PeeWee Yermin,140,128,20,0.521,1123,670,204,1984,632,483,44,0.2588,1585,91,86,71,66,36,3.896,1.211
6,Cream City Cowtippers,136,127,25,0.516,1241,712,189,2107,652,511,84,0.2614,1654,112,91,93,73,13,3.754,1.17
7,Blue Haderade,134,139,15,0.491,1175,652,168,1959,644,469,62,0.2654,1368,97,89,73,68,36,3.599,1.135
8,Delray Beach Air Biscuits,126,141,21,0.474,1212,709,176,2006,661,450,136,0.2748,1248,86,86,87,88,18,3.957,1.204
9,Lisa dANN,118,151,19,0.443,1095,665,172,1885,624,443,100,0.2506,1219,76,85,72,33,52,4.171,1.237
10,Mike Lowell W.S. MVP,90,182,16,0.34,1036,611,158,1728,515,456,59,0.2609,1019,59,59,60,16,20,4.266,1.253
