year,round,pick,overall,team,player_name,keeper
2021,1,1,0,Smokin' Bases,Juan Soto,False
2021,1,2,0,Buck Showalter,Ronald Acuna Jr.,False
2021,1,3,0,Delray Beach Air Biscuits,Fernando Tatis Jr.,False
2021,1,4,0,Cream City Cowtippers,Mookie Betts,False
2021,1,5,0,Daisy + Shay Bel-Airs,Mike Trout,False
2021,1,6,0,Mike Lowell W.S. MVP,Jacob deGrom,False
2021,1,7,0,PeeWee Yermin,Cody Bellinger,False
2021,1,8,0,Blue Haderade,Christian Yelich,False
2021,1,9,0,Comeback Tour,Trea Turner,False
2021,1,10,0,Lisa dANN,Jose Ramirez,False
2021,2,1,0,Lisa dANN,Trevor Story,False
2021,2,2,0,Comeback Tour,Shane Bieber,False
2021,2,3,0,Blue Haderade,Gerrit Cole,False
2021,2,4,0,PeeWee Yermin,Freddie Freeman,False
2021,2,5,0,Mike Lowell W.S. MVP,Francisco Lindor,False
2021,2,6,0,Daisy + Shay Bel-Airs,Trevor Bauer,False
2021,2,7,0,Cream City Cowtippers,Corey Seager,False
2021,2,8,0,Delray Beach Air Biscuits,Manny Machado,False
2021,2,9,0,Buck Showalter,Walker Buehler,False
2021,2,10,0,Smokin' Bases,Xander Bogaerts,False
2021,3,1,0,Smokin' Bases,Max Scherzer,False
2021,3,2,0,Buck Showalter,Lucas Giolito,False
2021,3,3,0,Delray Beach Air Biscuits,DJ LeMahieu,False
2021,3,4,0,Cream City Cowtippers,Yu Darvish,False
2021,3,5,0,Daisy + Shay Bel-Airs,Aaron Nola,False
2021,3,6,0,Mike Lowell W.S. MVP,Luis Robert,False
2021,3,7,0,PeeWee Yermin,Nolan Arenado,False
2021,3,8,0,Blue Haderade,Bo Bichette,False
2021,3,9,0,Comeback Tour,Bryce Harper,False
2021,3,10,0,Lisa dANN,Marcell Ozuna,False
2021,4,1,0,Lisa dANN,Jose Abreu,False
2021,4,2,0,Comeback Tour,Vladimir Guerrero Jr.,False
2021,4,3,0,Blue Haderade,Brandon Woodruff,False
2021,4,4,0,PeeWee Yermin,Anthony Rendon,False
2021,4,5,0,Mike Lowell W.S. MVP,Alex Bregman,False
2021,4,6,0,Daisy + Shay Bel-Airs,Blake Snell,False
2021,4,7,0,Cream City Cowtippers,Ozzie Albies,False
2021,4,8,0,Delray Beach Air Biscuits,Clayton Kershaw,False
2021,4,9,0,Buck Showalter,Cavan Biggio,False
2021,4,10,0,Smokin' Bases,Rafael Devers,False
2021,5,1,0,Smokin' Bases,Pete Alonso,False
2021,5,2,0,Buck Showalter,Jack Flaherty,False
2021,5,3,0,Delray Beach Air Biscuits,J.T. Realmuto,False
2021,5,4,0,Cream City Cowtippers,Luis Castillo,False
2021,5,5,0,Daisy + Shay Bel-Airs,Kyle Tucker,False
2021,5,6,0,Mike Lowell W.S. MVP,Aaron Judge,False
2021,5,7,0,PeeWee Yermin,Tyler Glasnow,False
2021,5,8,0,Blue Haderade,Ketel Marte,False
2021,5,9,0,Comeback Tour,Paul Goldschmidt,False
2021,5,10,0,Lisa dANN,Corbin Burnes,False
2021,6,1,0,Lisa dANN,Dylan Bundy,False
2021,6,2,0,Comeback Tour,Kenta Maeda,False
2021,6,3,0,Blue Haderade,Hyun Jin Ryu,False
2021,6,4,0,PeeWee Yermin,George Springer,False
2021,6,5,0,Mike Lowell W.S. MVP,Tim Anderson,False
2021,6,6,0,Daisy + Shay Bel-Airs,Adalberto Mondesi,False
2021,6,7,0,Cream City Cowtippers,Jose Berrios,False
2021,6,8,0,Delray Beach Air Biscuits,Whit Merrifield,False
2021,6,9,0,Buck Showalter,Lance Lynn,False
2021,6,10,0,Smokin' Bases,Nick Castellanos,False
2021,7,1,0,Smokin' Bases,Jeff McNeil,False
2021,7,2,0,Buck Showalter,Will Smith,False
2021,7,3,0,Delray Beach Air Biscuits,Starling Marte,False
