year,team,player_name,position,eligible_slots,pro_team
2021,Comeback Tour,Trea Turner,OF,"SS,2B/SS,IF,UTIL,BE,IL,2B",LAD
2021,Comeback Tour,Shane Bieber,C,"P,SP,BE,IL",Cle
2021,Comeback Tour,Vladimir Guerrero Jr.,2B,"1B,1B/3B,IF,DH,UTIL,BE,IL",Tor
2021,Comeback Tour,Paul Goldschmidt,2B,"1B,1B/3B,IF,UTIL,BE,IL",StL
2021,Comeback Tour,Salvador Perez,1B,"C,UTIL,BE,IL,DH",KC
2021,Comeback Tour,Lance McCullers Jr.,C,"P,SP,BE,IL",Hou
2021,Comeback Tour,Trent Grisham,1B/3B,"CF,OF,UTIL,BE,IL",SD
2021,Comeback Tour,Marcus Stroman,C,"P,SP,BE,IL",ChC
2021,Comeback Tour,Robbie Ray,C,"P,SP,BE,IL",Sea
2021,Comeback Tour,Mitch Haniger,LF,"RF,OF,UTIL,BE,IL,DH",Sea
2021,Comeback Tour,Blake Treinen,RF,"P,RP,BE,IL",LAD
2021,Comeback Tour,Liam Hendriks,RF,"P,RP,BE,IL",ChW
2021,Comeback Tour,Alek Manoah,C,"P,SP,BE,IL",Tor
2021,Comeback Tour,Brandon Lowe,3B,"2B,2B/SS,IF,RF,OF,UTIL,BE,IL,LF",TB
2021,Comeback Tour,Chris Flexen,RF,"P,RP,BE,IL,SP",Sea
2021,Comeback Tour,Tylor Megill,RF,"P,RP,BE,IL,SP",NYM
2021,Comeback Tour,Dansby Swanson,OF,"SS,2B/SS,IF,UTIL,BE,IL",Atl
2021,Comeback Tour,Matt Chapman,SS,"3B,1B/3B,IF,UTIL,BE,IL",Oak
2021,Comeback Tour,Miles Mikolas,C,"P,SP,BE,IL",StL
2021,Comeback Tour,Javier Baez,OF,"SS,2B/SS,IF,UTIL,BE,IL,2B",Det
2021,Comeback Tour,Carlos Hernandez,C,"P,SP,BE,IL,RP",KC
2021,Comeback Tour,Jean Segura,3B,"2B,3B,2B/SS,1B/3B,IF,UTIL,BE,IL",Phi
2021,Comeback Tour,Scott Barlow,RF,"P,RP,BE,IL",KC
2021,Comeback Tour,Cole Irvin,RF,"P,RP,BE,IL,SP",Oak
2021,Comeback Tour,Jose Urquidy,C,"P,SP,BE,IL",Hou
2021,Mike Lowell W.S. MVP,Jacob deGrom,C,"P,SP,BE,IL",NYM
2021,Mike Lowell W.S. MVP,Francisco Lindor,OF,"SS,2B/SS,IF,UTIL,BE,IL",NYM
2021,Mike Lowell W.S. MVP,Alex Bregman,SS,"3B,1B/3B,IF,UTIL,BE,IL",Hou
2021,Mike Lowell W.S. MVP,Aaron Judge,LF,"RF,OF,UTIL,BE,IL,DH,CF",NYY
2021,Mike Lowell W.S. MVP,Tim Anderson,OF,"SS,2B/SS,IF,UTIL,BE,IL",ChW
2021,Mike Lowell W.S. MVP,Luke Voit,2B,"1B,1B/3B,IF,UTIL,BE,IL,DH",NYY
2021,Mike Lowell W.S. MVP,Jose Altuve,3B,"2B,2B/SS,IF,UTIL,BE,IL",Hou
2021,Mike Lowell W.S. MVP,Teoscar Hernandez,LF,"RF,OF,UTIL,BE,IL,LF,DH",Tor
2021,Mike Lowell W.S. MVP,Shohei Ohtani,CF,"DH,UTIL,P,SP,BE,IL",LAA
2021,Mike Lowell W.S. MVP,James Karinchak,RF,"P,RP,BE,IL",Cle
2021,Mike Lowell W.S. MVP,Willson Contreras,1B,"C,DH,UTIL,BE,IL",ChC
2021,Mike Lowell W.S. MVP,Gary Sanchez,1B,"C,UTIL,BE,IL",NYY
2021,Mike Lowell W.S. MVP,Joey Gallo,LF,"RF,OF,UTIL,BE,IL,DH,LF",NYY
2021,Mike Lowell W.S. MVP,Eric Hosmer,2B,"1B,1B/3B,IF,UTIL,BE,IL",SD
2021,Mike Lowell W.S. MVP,Victor Robles,1B/3B,"CF,OF,UTIL,BE,IL",Wsh
2021,Mike Lowell W.S. MVP,Alex Verdugo,LF,"LF,RF,OF,UTIL,BE,IL,CF",Bos
2021,Mike Lowell W.S. MVP,Dylan Carlson,LF,"LF,CF,RF,OF,UTIL,BE,IL",StL
2021,Mike Lowell W.S. MVP,Madison Bumgarner,C,"P,SP,BE,IL",Ari
2021,Mike Lowell W.S. MVP,Taijuan Walker,C,"P,SP,BE,IL",NYM
2021,Mike Lowell W.S. MVP,Taylor Rogers,RF,"P,RP,BE,IL",Min
2021,Mike Lowell W.S. MVP,Michael Pineda,C,"P,SP,BE,IL",FA
2021,Mike Lowell W.S. MVP,Nick Pivetta,C,"P,SP,BE,IL",Bos
2021,Mike Lowell W.S. MVP,Jesus Luzardo,C,"P,SP,BE,IL,RP",Mia
2021,Mike Lowell W.S. MVP,Josiah Gray,C,"P,SP,BE,IL",Wsh
2021,Mike Lowell W.S. MVP,Ranger Suarez,RF,"P,RP,BE,IL,SP",Phi
2021,Daisy + Shay Bel-Airs,Aaron Nola,C,"P,SP,BE,IL",Phi
2021,Daisy + Shay Bel-Airs,Kyle Tucker,2B/SS,"LF,OF,DH,UTIL,BE,IL,RF",Hou
2021,Daisy + Shay Bel-Airs,Anthony Rizzo,2B,"1B,1B/3B,IF,UTIL,BE,IL",FA
2021,Daisy + Shay Bel-Airs,J.D. Martinez,CF,"DH,UTIL,BE,IL,OF,LF",Bos
2021,Daisy + Shay Bel-Airs,Kris Bryant,SS,"3B,1B/3B,IF,UTIL,BE,IL,OF,LF,RF,1B,CF",FA
2021,Daisy + Shay Bel-Airs,Kevin Gausman,C,"P,SP,BE,IL",Tor
2021,Daisy + Shay Bel-Airs,John Means,C,"P,SP,BE,IL",Bal
2021,Daisy + Shay Bel-Airs,Jake Cronenworth,3B,"1B,2B,SS,2B/SS,1B/3B,IF,UTIL,BE,IL",SD
2021,Daisy + Shay Bel-Airs,Chris Taylor,2B/SS,"2B,SS,2B/SS,IF,LF,OF,UTIL,BE,IL,CF,3B,1B/3B",LAD
2021,Daisy + Shay Bel-Airs,Max Fried,C,"P,SP,BE,IL",Atl
2021,Daisy + Shay Bel-Airs,Buster Posey,1B,"C,UTIL,BE,IL",FA
2021,Daisy + Shay Bel-Airs,Framber Valdez,C,"P,SP,BE,IL",Hou
2021,Daisy + Shay Bel-Airs,Edwin Diaz,RF,"P,RP,BE,IL",NYM
2021,Daisy + Shay Bel-Airs,DJ LeMahieu,3B,"1B,2B,3B,2B/SS,1B/3B,IF,UTIL,BE,IL",NYY
2021,Daisy + Shay Bel-Airs,Luis Robert,1B/3B,"CF,OF,UTIL,BE,IL",ChW
2021,Daisy + Shay Bel-Airs,Marco Gonzales,C,"P,SP,BE,IL",Sea
2021,Daisy + Shay Bel-Airs,Triston McKenzie,C,"P,SP,BE,IL",Cle
2021,Daisy + Shay Bel-Airs,Chris Paddack,C,"P,SP,BE,IL",SD
2021,Daisy + Shay Bel-Airs,Corey Kluber,C,"P,SP,BE,IL",TB
2021,Daisy + Shay Bel-Airs,Hunter Renfroe,LF,"RF,OF,UTIL,BE,IL",Mil
2021,Daisy + Shay Bel-Airs,Jordan Romano,RF,"P,RP,BE,IL",Tor
2021,Daisy + Shay Bel-Airs,C.J. Cron,2B,"1B,1B/3B,IF,UTIL,BE,IL",Col
2021,Daisy + Shay Bel-Airs,Carlos Carrasco,C,"P,SP,BE,IL",NYM
2021,Daisy + Shay Bel-Airs,Andrew Kittredge,RF,"P,RP,BE,IL,SP",TB
2021,Smokin' Bases,Juan Soto,2B/SS,"LF,OF,UTIL,BE,IL,RF",Wsh
2021,Smokin' Bases,Xander Bogaerts,OF,"SS,2B/SS,IF,UTIL,BE,IL",Bos
2021,Smokin' Bases,Max Scherzer,C,"P,SP,BE,IL",NYM
2021,Smokin' Bases,Rafael Devers,SS,"3B,1B/3B,IF,UTIL,BE,IL",Bos
2021,Smokin' Bases,Pete Alonso,2B,"1B,1B/3B,IF,DH,UTIL,BE,IL",NYM
2021,Smokin' Bases,Nick Castellanos,LF,"RF,OF,UTIL,BE,IL",FA
2021,Smokin' Bases,Yordan Alvarez,CF,"DH,UTIL,BE,IL,LF,OF",Hou
2021,Smokin' Bases,Charlie Morton,C,"P,SP,BE,IL",Atl
2021,Smokin' Bases,Joe Musgrove,C,"P,SP,BE,IL",SD
2021,Smokin' Bases,Tommy Edman,SS,"3B,SS,2B/SS,1B/3B,IF,RF,OF,UTIL,BE,IL,2B",StL
2021,Smokin' Bases,Aaron Civale,C,"P,SP,BE,IL",Cle
2021,Smokin' Bases,Tyler Mahle,C,"P,SP,BE,IL",Cin
2021,Smokin' Bases,Nathan Eovaldi,C,"P,SP,BE,IL",Bos
2021,Smokin' Bases,Emmanuel Clase,RF,"P,RP,BE,IL",Cle
2021,Smokin' Bases,Will Smith,RF,"P,RP,BE,IL",Atl
2021,Smokin' Bases,Jonathan Schoop,3B,"2B,2B/SS,IF,UTIL,BE,IL,1B,1B/3B,DH",Det
2021,Smokin' Bases,Ian Kennedy,RF,"P,RP,BE,IL",FA
2021,Smokin' Bases,Yadier Molina,1B,"C,UTIL,BE,IL",StL
2021,Smokin' Bases,Eloy Jimenez,2B/SS,"LF,OF,UTIL,BE,IL,DH",ChW
2021,Smokin' Bases,Tanner Houck,C,"P,SP,BE,IL,RP",Bos
2021,Smokin' Bases,Blake Snell,C,"P,SP,BE,IL",SD
2021,Smokin' Bases,Tyler Anderson,C,"P,SP,BE,IL",FA
2021,Smokin' Bases,Elieser Hernandez,C,"P,SP,BE,IL",Mia
2021,Smokin' Bases,Wander Franco,OF,"SS,2B/SS,IF,UTIL,BE,IL",TB
2021,Smokin' Bases,Jake Odorizzi,C,"P,SP,BE,IL",Hou
2021,Smokin' Bases,Giovanny Gallegos,RF,"P,RP,BE,IL",StL
2021,Delray Beach Air Biscuits,Manny Machado,SS,"3B,1B/3B,IF,UTIL,BE,IL",SD
2021,Delray Beach Air Biscuits,J.T. Realmuto,1B,"C,UTIL,BE,IL,1B,1B/3B,IF",Phi
2021,Delray Beach Air Biscuits,Whit Merrifield,LF,"2B,2B/SS,IF,CF,RF,OF,UTIL,BE,IL",KC
2021,Delray Beach Air Biscuits,Starling Marte,1B/3B,"CF,OF,UTIL,BE,IL",NYM
2021,Delray Beach Air Biscuits,Aroldis Chapman,RF,"P,RP,BE,IL",NYY
2021,Delray Beach Air Biscuits,Zach Plesac,C,"P,SP,BE,IL",Cle
2021,Delray Beach Air Biscuits,Ryan Pressly,RF,"P,RP,BE,IL",Hou
2021,Delray Beach Air Biscuits,Dominic Smith,2B,"1B,1B/3B,IF,LF,OF,UTIL,BE,IL",NYM
2021,Delray Beach Air Biscuits,Carlos Correa,OF,"SS,2B/SS,IF,UTIL,BE,IL",FA
2021,Delray Beach Air Biscuits,German Marquez,C,"P,SP,BE,IL",Col
2021,Delray Beach Air Biscuits,Chris Sale,C,"P,SP,BE,IL",Bos
2021,Delray Beach Air Biscuits,Diego Castillo,RF,"P,RP,BE,IL",Sea
2021,Delray Beach Air Biscuits,Yuli Gurriel,2B,"1B,1B/3B,IF,UTIL,BE,IL",Hou
2021,Delray Beach Air Biscuits,Randal Grichuk,1B/3B,"CF,OF,UTIL,BE,IL,RF,DH",Tor
2021,Delray Beach Air Biscuits,Wade Miley,C,"P,SP,BE,IL",ChC
2021,Delray Beach Air Biscuits,Alex Reyes,RF,"P,RP,BE,IL",StL
