year,week,team,opponent,cats_won,cats_lost,cats_tied,H_value,H_result,R_value,R_result,HR_value,HR_result,TB_value,TB_result,RBI_value,RBI_result,BB_value,BB_result,SB_value,SB_result,AVG_value,AVG_result,K_value,K_result,QS_value,QS_result,W_value,W_result,L_value,L_result,SV_value,SV_result,HD_value,HD_result,ERA_value,ERA_result,WHIP_value,WHIP_result
2021,1,Blue Haderade,Smokin' Bases,4,11,1,85.0,1,44.0,-1,13.0,-1,140.0,-1,38.0,-1,32.0,-1,5.0,0,0.26479751,1,92.0,-1,5.0,-1,5.0,-1,2.0,1,6.0,1,1.0,-1,3.80912863,-1,1.13278008,-1
2021,1,Smokin' Bases,Blue Haderade,11,4,1,82.0,-1,55.0,1,16.0,1,150.0,1,55.0,1,39.0,1,5.0,0,0.25867508,-1,119.0,1,7.0,1,8.0,1,8.0,-1,0.0,-1,2.0,1,3.29651163,1,1.01162791,1
2021,1,Lisa dANN,Buck Showalter,2,14,0,76.0,-1,39.0,-1,11.0,-1,122.0,-1,35.0,-1,32.0,-1,10.0,1,0.22551929,-1,103.0,-1,7.0,-1,4.0,-1,5.0,-1,0.0,-1,3.0,1,3.50787402,-1,1.0511811,-1
2021,1,Buck Showalter,Lisa dANN,14,2,0,78.0,1,51.0,1,19.0,1,151.0,1,49.0,1,41.0,1,4.0,-1,0.24223602,1,121.0,1,9.0,1,10.0,1,3.0,1,2.0,1,1.0,-1,2.72555205,1,1.03154574,1
2021,1,Cream City Cowtippers,Delray Beach Air Biscuits,11,5,0,85.0,-1,52.0,1,13.0,-1,147.0,-1,47.0,-1,36.0,1,8.0,1,0.26898734,-1,112.0,1,7.0,1,7.0,1,5.0,1,6.0,1,1.0,1,3.53932584,1,1.13483146,1
2021,1,Delray Beach Air Biscuits,Cream City Cowtippers,5,11,0,93.0,1,42.0,-1,16.0,1,162.0,1,49.0,1,26.0,-1,7.0,-1,0.30592105,1,92.0,-1,6.0,-1,5.0,-1,8.0,-1,4.0,-1,0.0,-1,3.96,-1,1.26,-1
2021,1,Mike Lowell W.S. MVP,Daisy + Shay Bel-Airs,8,6,2,87.0,1,55.0,1,13.0,0,142.0,1,40.0,-1,40.0,-1,5.0,1,0.26047904,1,84.0,-1,2.0,-1,3.0,0,5.0,1,0.0,-1,5.0,1,3.15957447,1,1.2287234,-1
2021,1,Daisy + Shay Bel-Airs,Mike Lowell W.S. MVP,6,8,2,78.0,-1,43.0,-1,13.0,0,141.0,-1,49.0,1,43.0,1,2.0,-1,0.25407166,-1,138.0,1,8.0,1,3.0,0,6.0,-1,5.0,1,3.0,-1,4.14824798,-1,1.14824798,1
2021,1,PeeWee Yermin,Comeback Tour,7,8,1,78.0,1,46.0,-1,17.0,1,146.0,1,36.0,-1,39.0,1,5.0,1,0.27272727,1,85.0,-1,3.0,-1,1.0,-1,5.0,0,6.0,1,0.0,-1,5.48275862,-1,1.43678161,-1
2021,1,Comeback Tour,PeeWee Yermin,8,7,1,70.0,-1,52.0,1,15.0,-1,131.0,-1,43.0,1,36.0,-1,2.0,-1,0.25089606,-1,111.0,1,8.0,1,7.0,1,5.0,0,2.0,-1,1.0,1,3.32876712,1,1.35616438,1
