Name,Team,espn_id,WHIP,ERA,K,SV,W,L,HD,QS
Mick Abel,MIN,4718970,1.71,5.4,31.0,1.0,1.0,3.0,0.0,3.0
Rico Garcia,BAL,41382,1.42,4.74,43.0,2.0,1.0,3.0,0.0,0.0
Zack Kelly,BOS,41569,1.44,4.19,42.0,2.0,3.0,2.0,0.0,0.0
Cole Sulser,TB,37825,1.15,3.33,27.0,0.0,2.0,1.0,0.0,0.0
Bailey Falter,KC,4705677,1.37,4.43,42.0,1.0,3.0,4.0,0.0,1.0
Nick Sandlin,LAA,41385,1.31,4.4,54.0,1.0,3.0,2.0,0.0,0.0
Jack Perkins,OAK,4418686,1.35,3.92,69.0,4.0,4.0,3.0,0.0,2.0
Spencer Turnbull,FA,33732,1.58,4.81,39.0,2.0,2.0,3.0,0.0,1.0
Kyle Nicolas,PIT,4415762,1.46,4.15,42.0,3.0,2.0,2.0,0.0,0.0
Brandon Sproat,MIL,4621041,1.42,4.42,44.0,2.0,3.0,3.0,0.0,5.0
Rafael Montero,NYY,32631,1.39,4.3,45.0,0.0,3.0,2.0,0.0,0.0
Matt Gage,SF,40337,1.2,3.34,29.0,2.0,2.0,2.0,0.0,0.0
Christian Scott,NYM,4414215,1.28,4.17,51.0,0.0,3.0,3.0,0.0,5.0
Kaleb Ort,LAA,42639,1.47,4.78,53.0,2.0,2.0,3.0,0.0,0.0
Konnor Pilkington,DET,41329,1.57,4.89,49.0,2.0,2.0,3.0,0.0,0.0
A.J. Puk,ARI,36201,1.1,3.43,28.0,1.0,2.0,0.0,2.0,0.0
Joel Payamps,ATL,40021,1.24,4.14,35.0,1.0,2.0,2.0,0.0,0.0
Ryan Bergert,KC,5196249,1.49,4.85,32.0,1.0,2.0,2.0,0.0,4.0
Juan Morillo,ARI,4722925,1.51,4.38,35.0,2.0,2.0,2.0,0.0,0.0
Patrick Sandoval,BOS,40975,1.57,4.76,49.0,4.0,3.0,3.0,0.0,1.0
Zach Agnos,COL,5207459,1.51,4.76,41.0,2.0,1.0,5.0,3.0,0.0
Mitchell Parker,WSH,4683356,1.36,4.5,41.0,2.0,3.0,3.0,0.0,1.0
Eric Orze,MIN,4299966,1.4,4.4,46.0,0.0,2.0,3.0,0.0,0.0
James McArthur,KC,3960883,1.19,3.98,41.0,1.0,3.0,2.0,0.0,0.0
Wikelman Gonzalez,CWS,4917659,1.64,4.75,33.0,1.0,2.0,2.0,0.0,0.0
Cade Povich,BAL,5085743,1.33,4.35,58.0,2.0,3.0,4.0,0.0,6.0
Yohan Ramirez,PIT,41893,1.39,4.03,43.0,6.0,2.0,2.0,0.0,0.0
Brent Headrick,NYY,5116839,1.19,4.0,30.0,1.0,2.0,1.0,0.0,0.0
Jordan Wicks,CHC,4420749,1.4,4.58,51.0,1.0,3.0,3.0,2.0,0.0
Ryan Brasier,TEX,30189,1.16,3.66,29.0,1.0,2.0,2.0,0.0,0.0
Wade Miley,FA,31094,1.45,4.34,33.0,1.0,3.0,3.0,0.0,6.0
Colin Selby,BAL,5116841,1.34,4.22,36.0,1.0,2.0,2.0,0.0,0.0
Chris Murphy,CWS,4084958,1.41,4.14,34.0,2.0,2.0,2.0,0.0,0.0
Evan Phillips,LAD,37911,1.1,3.1,33.0,1.0,2.0,1.0,0.0,0.0
Alexis Diaz,TEX,4905920,1.52,4.91,38.0,1.0,2.0,2.0,0.0,0.0
Tanner Gordon,COL,4415658,1.47,4.74,14.0,0.0,1.0,1.0,0.0,2.0
Connor Phillips,CIN,4918160,1.7,5.67,43.0,2.0,2.0,3.0,0.0,0.0
Casey Legumina,SEA,4346117,1.35,4.3,45.0,1.0,3.0,2.0,0.0,0.0
Gordon Graceffo,STL,5123582,1.6,5.04,38.0,1.0,2.0,4.0,0.0,0.0
Brock Stewart,LAD,35997,1.41,4.78,35.0,1.0,1.0,3.0,0.0,0.0
Austin Gomber,TEX,34897,1.33,4.6,33.0,1.0,2.0,3.0,0.0,4.0
Michael Kopech,FA,33763,1.7,5.67,31.0,3.0,1.0,2.0,0.0,0.0
Alex Lange,KC,40976,1.41,4.03,33.0,3.0,2.0,1.0,0.0,0.0
Drew Thorpe,CWS,4629086,1.27,3.9,26.0,0.0,2.0,1.0,0.0,3.0
Sam Hentges,SF,41225,1.41,4.03,27.0,1.0,2.0,1.0,0.0,0.0
Evan Sisk,PIT,3994084,1.34,3.72,33.0,1.0,2.0,1.0,0.0,0.0
Dauri Moreta,FA,41874,1.26,3.77,44.0,2.0,2.0,1.0,0.0,0.0
