Name,Team,espn_id,H,AVG,HR,TB,BB,R,RBI,SB
Amed Rosario,NYY,33215,25.0,0.266,2.0,36.0,4.0,10.0,10.0,1.0
Justyn-Henry Malloy,TB,4718623,23.0,0.223,3.0,38.0,20.0,13.0,14.0,1.0
Alex Jackson,MIN,33707,11.0,0.208,2.0,20.0,5.0,8.0,6.0,0.0
John Rave,KC,4418140,30.0,0.226,3.0,47.0,19.0,18.0,12.0,7.0
MJ Melendez,NYM,40948,45.0,0.206,8.0,84.0,18.0,23.0,20.0,4.0
Nolan Jones,CLE,37340,48.0,0.222,6.0,78.0,29.0,23.0,24.0,5.0
LaMonte Wade Jr.,CWS,37798,17.0,0.224,2.0,26.0,14.0,9.0,8.0,0.0
David Hamilton,MIL,42987,36.0,0.208,6.0,62.0,19.0,27.0,18.0,24.0
Kevin Alcantara,CHC,42500,51.0,0.229,6.0,80.0,25.0,23.0,25.0,7.0
Oswald Peraza,LAA,42479,26.0,0.19,4.0,42.0,13.0,17.0,14.0,7.0
Johnathan Rodriguez,CLE,41349,21.0,0.244,3.0,34.0,11.0,9.0,11.0,1.0
Jhonny Pereda,SEA,40702,19.0,0.226,1.0,26.0,12.0,7.0,7.0,0.0
Johan Rojas,PHI,42829,41.0,0.244,2.0,57.0,11.0,21.0,16.0,12.0
Charlie Condon,COL,5033089,30.0,0.24,6.0,59.0,15.0,13.0,19.0,1.0
Austin Slater,DET,35265,26.0,0.234,3.0,40.0,14.0,17.0,11.0,1.0
