year,round,pick,overall,team,player_name,keeper
2017,1,1,0,Smokin' Bases,Mike Trout,False
2017,1,2,0,Bel Air GMY's,Mookie Betts,False
2017,1,3,0,Jobu's VooDoo Project,Jose Altuve,False
2017,1,4,0,Harper Barely Know Her,Nolan Arenado,False
2017,1,5,0,Delray Beach Air Biscuits,Paul Goldschmidt,False
2017,1,6,0,Buck Showalter,Clayton Kershaw,False
2017,1,7,0,Sale For The Title,Manny Machado,False
2017,1,8,0,Napoli  Headed Hoes,Kris Bryant,False
2017,1,9,0,Teheran It Up,Josh Donaldson,False
2017,1,10,0,Rum Springer,Miguel Cabrera,False
2017,2,1,0,Rum Springer,Max Scherzer,False
2017,2,2,0,Teheran It Up,Madison Bumgarner,False
2017,2,3,0,Napoli  Headed Hoes,Bryce Harper,False
2017,2,4,0,Sale For The Title,Chris Sale,False
2017,2,5,0,Buck Showalter,Trea Turner,False
2017,2,6,0,Delray Beach Air Biscuits,Charlie Blackmon,False
2017,2,7,0,Harper Barely Know Her,Joey Votto,False
2017,2,8,0,Jobu's VooDoo Project,Noah Syndergaard,False
2017,2,9,0,Bel Air GMY's,Anthony Rizzo,False
2017,2,10,0,Smokin' Bases,Carlos Correa,False
2017,3,1,0,Smokin' Bases,Corey Kluber,False
2017,3,2,0,Bel Air GMY's,Edwin Encarnacion,False
2017,3,3,0,Jobu's VooDoo Project,Yoenis Cespedes,False
2017,3,4,0,Harper Barely Know Her,Corey Seager,False
2017,3,5,0,Delray Beach Air Biscuits,Starling Marte,False
2017,3,6,0,Buck Showalter,Jake Arrieta,False
2017,3,7,0,Sale For The Title,Jon Lester,False
2017,3,8,0,Napoli  Headed Hoes,Francisco Lindor,False
2017,3,9,0,Teheran It Up,Daniel Murphy,False
2017,3,10,0,Rum Springer,Giancarlo Stanton,False
2017,4,1,0,Rum Springer,George Springer,False
2017,4,2,0,Teheran It Up,Johnny Cueto,False
2017,4,3,0,Napoli  Headed Hoes,Xander Bogaerts,False
2017,4,4,0,Sale For The Title,Robinson Cano,False
2017,4,5,0,Buck Showalter,Jonathan Villar,False
2017,4,6,0,Delray Beach Air Biscuits,Freddie Freeman,False
2017,4,7,0,Harper Barely Know Her,Andrew McCutchen,False
2017,4,8,0,Jobu's VooDoo Project,Nelson Cruz,False
2017,4,9,0,Bel Air GMY's,Brian Dozier,False
2017,4,10,0,Smokin' Bases,Matt Carpenter,False
2017,5,1,0,Smokin' Bases,Yu Darvish,False
2017,5,2,0,Bel Air GMY's,Trevor Story,False
2017,5,3,0,Jobu's VooDoo Project,Wil Myers,False
2017,5,4,0,Harper Barely Know Her,Buster Posey,False
2017,5,5,0,Delray Beach Air Biscuits,Carlos Gonzalez,False
2017,5,6,0,Buck Showalter,Dee Gordon,False
