year,team,player_name,position,eligible_slots,pro_team
2017,Rum Springer,Miguel Cabrera,2B,"1B,1B/3B,DH,UTIL,BE,IL,IF",Det
2017,Rum Springer,Max Scherzer,C,"P,SP,BE,IL",Wsh
2017,Rum Springer,Giancarlo Stanton,LF,"OF,RF,UTIL,BE,IL",NYY
2017,Rum Springer,George Springer,LF,"OF,CF,RF,UTIL,BE,IL",Hou
2017,Rum Springer,Ryan Braun,2B/SS,"OF,LF,UTIL,BE,IL",Mil
2017,Rum Springer,Jose Abreu,2B,"1B,1B/3B,DH,UTIL,BE,IL,IF",ChW
2017,Rum Springer,Masahiro Tanaka,C,"P,SP,BE,IL",NYY
2017,Rum Springer,Gary Sanchez,1B,"C,DH,UTIL,BE,IL",NYY
2017,Rum Springer,Ken Giles,RF,"P,RP,BE,IL",Hou
2017,Rum Springer,Dallas Keuchel,C,"P,SP,BE,IL",Hou
2017,Rum Springer,AJ Ramos,RF,"P,RP,BE,IL",NYM
2017,Rum Springer,Kyle Seager,SS,"3B,1B/3B,UTIL,BE,IL,IF",Sea
2017,Rum Springer,Brad Peacock,RF,"P,SP,RP,BE,IL",Hou
2017,Rum Springer,Danny Duffy,C,"P,SP,RP,BE,IL",KC
2017,Rum Springer,Rougned Odor,3B,"2B,2B/SS,UTIL,BE,IL,IF",Tex
2017,Rum Springer,Sean Manaea,C,"P,SP,BE,IL",Oak
2017,Rum Springer,Zack Godley,RF,"P,SP,RP,BE,IL",Ari
2017,Rum Springer,Luis Castillo,RF,"P,SP,RP,BE,IL",Cin
2017,Rum Springer,Johnny Cueto,C,"P,SP,BE,IL",SF
2017,Rum Springer,Tim Beckham,OF,"2B,SS,2B/SS,UTIL,BE,IL,IF",Bal
2017,Rum Springer,Blake Snell,C,"P,SP,BE,IL",TB
2017,Rum Springer,Byron Buxton,1B/3B,"OF,CF,UTIL,BE,IL",Min
2017,Rum Springer,Luke Weaver,C,"P,SP,BE,IL",StL
2017,Rum Springer,Tyler Mahle,C,"P,SP,BE,IL",Cin
2017,Rum Springer,Trey Mancini,CF,"1B,OF,1B/3B,LF,DH,UTIL,BE,IL,IF",Bal
2017,Sale For The Title,Manny Machado,OF,"3B,SS,2B/SS,1B/3B,UTIL,BE,IL,IF",Bal
2017,Sale For The Title,Chris Sale,C,"P,SP,BE,IL",Bos
2017,Sale For The Title,Robinson Cano,3B,"2B,2B/SS,UTIL,BE,IL,IF",Sea
2017,Sale For The Title,Jacob deGrom,C,"P,SP,BE,IL",NYM
2017,Sale For The Title,Andrew Miller,RF,"P,RP,BE,IL",Cle
2017,Sale For The Title,Miguel Sano,SS,"3B,OF,1B/3B,RF,DH,UTIL,BE,IL,IF",Min
