year,round,pick,overall,team,player_name,keeper
2018,1,1,0,Harper Barely Know Her,Nolan Arenado,False
2018,1,2,0,Delray Beach Air Biscuits,Jose Altuve,False
2018,1,3,0,Napoli  Headed Hoes,Mike Trout,False
2018,1,4,0,Buck Showalter,Bryce Harper,False
2018,1,5,0,Bel Air GMY's,Trea Turner,False
2018,1,6,0,Smokin' Bases,Mookie Betts,False
2018,1,7,0,Jobu's VooDoo Project,Max Scherzer,False
2018,1,8,0,Magic Man,Clayton Kershaw,False
2018,1,9,0,Dirty Sanchez,Giancarlo Stanton,False
2018,1,10,0,Sale For The Title,Chris Sale,False
2018,2,1,0,Sale For The Title,Corey Kluber,False
2018,2,2,0,Dirty Sanchez,Madison Bumgarner,False
2018,2,3,0,Magic Man,Francisco Lindor,False
2018,2,4,0,Jobu's VooDoo Project,Paul Goldschmidt,False
2018,2,5,0,Smokin' Bases,Charlie Blackmon,False
2018,2,6,0,Bel Air GMY's,Kris Bryant,False
2018,2,7,0,Buck Showalter,Manny Machado,False
2018,2,8,0,Napoli  Headed Hoes,Carlos Correa,False
2018,2,9,0,Delray Beach Air Biscuits,George Springer,False
2018,2,10,0,Harper Barely Know Her,Joey Votto,False
2018,3,1,0,Harper Barely Know Her,Cody Bellinger,False
2018,3,2,0,Delray Beach Air Biscuits,Freddie Freeman,False
2018,3,3,0,Napoli  Headed Hoes,Anthony Rizzo,False
2018,3,4,0,Buck Showalter,Stephen Strasburg,False
2018,3,5,0,Bel Air GMY's,J.D. Martinez,False
2018,3,6,0,Smokin' Bases,Josh Donaldson,False
2018,3,7,0,Jobu's VooDoo Project,Jose Ramirez,False
2018,3,8,0,Magic Man,Aaron Judge,False
2018,3,9,0,Dirty Sanchez,Gary Sanchez,False
2018,3,10,0,Sale For The Title,Corey Seager,False
2018,4,1,0,Sale For The Title,Brian Dozier,False
2018,4,2,0,Dirty Sanchez,Noah Syndergaard,False
2018,4,3,0,Magic Man,Jose Abreu,False
2018,4,4,0,Jobu's VooDoo Project,Justin Verlander,False
2018,4,5,0,Smokin' Bases,Jacob deGrom,False
2018,4,6,0,Bel Air GMY's,Dee Gordon,False
2018,4,7,0,Buck Showalter,Carlos Carrasco,False
2018,4,8,0,Napoli  Headed Hoes,Craig Kimbrel,False
2018,4,9,0,Delray Beach Air Biscuits,Alex Bregman,False
2018,4,10,0,Harper Barely Know Her,Edwin Encarnacion,False
2018,5,1,0,Harper Barely Know Her,Rhys Hoskins,False
2018,5,2,0,Delray Beach Air Biscuits,Justin Upton,False
2018,5,3,0,Napoli  Headed Hoes,Andrew Benintendi,False
2018,5,4,0,Buck Showalter,Dallas Keuchel,False
2018,5,5,0,Bel Air GMY's,Luis Severino,False
2018,5,6,0,Smokin' Bases,Marcell Ozuna,False
2018,5,7,0,Jobu's VooDoo Project,Elvis Andrus,False
2018,5,8,0,Magic Man,Yu Darvish,False
2018,5,9,0,Dirty Sanchez,Christian Yelich,False
2018,5,10,0,Sale For The Title,Kenley Jansen,False
2018,6,1,0,Sale For The Title,Zack Greinke,False
2018,6,2,0,Dirty Sanchez,Chris Archer,False
2018,6,3,0,Magic Man,Anthony Rendon,False
2018,6,4,0,Jobu's VooDoo Project,Gerrit Cole,False
2018,6,5,0,Smokin' Bases,Nelson Cruz,False
2018,6,6,0,Bel Air GMY's,Robbie Ray,False
2018,6,7,0,Buck Showalter,Tommy Pham,False
2018,6,8,0,Napoli  Headed Hoes,Starling Marte,False
2018,6,9,0,Delray Beach Air Biscuits,Wil Myers,False
2018,6,10,0,Harper Barely Know Her,Jonathan Schoop,False
2018,7,1,0,Harper Barely Know Her,Khris Davis,False
2018,7,2,0,Delray Beach Air Biscuits,Byron Buxton,False
2018,7,3,0,Napoli  Headed Hoes,Carlos Martinez,False
2018,7,4,0,Buck Showalter,Shohei Ohtani,False
2018,7,5,0,Bel Air GMY's,Jose Quintana,False
2018,7,6,0,Smokin' Bases,Aaron Nola,False
2018,7,7,0,Jobu's VooDoo Project,Kyle Hendricks,False
2018,7,8,0,Magic Man,Andrew McCutchen,False
2018,7,9,0,Dirty Sanchez,Miguel Cabrera,False
2018,7,10,0,Sale For The Title,Buster Posey,False
2018,8,1,0,Sale For The Title,Aroldis Chapman,False
2018,8,2,0,Dirty Sanchez,Xander Bogaerts,False
2018,8,3,0,Magic Man,Jake Arrieta,False
2018,8,4,0,Jobu's VooDoo Project,Yoenis Cespedes,False
2018,8,5,0,Smokin' Bases,Robinson Cano,False
2018,8,6,0,Bel Air GMY's,Miguel Sano,False
2018,8,7,0,Buck Showalter,Eric Hosmer,False
2018,8,8,0,Napoli  Headed Hoes,A.J. Pollock,False
2018,8,9,0,Delray Beach Air Biscuits,Justin Turner,False
2018,8,10,0,Harper Barely Know Her,Masahiro Tanaka,False
2018,9,1,0,Harper Barely Know Her,David Price,False
2018,9,2,0,Delray Beach Air Biscuits,James Paxton,False
2018,9,3,0,Napoli  Headed Hoes,DJ LeMahieu,False
2018,9,4,0,Buck Showalter,Lorenzo Cain,False
2018,9,5,0,Bel Air GMY's,Willson Contreras,False
2018,9,6,0,Smokin' Bases,Trevor Story,False
2018,9,7,0,Jobu's VooDoo Project,Jose Berrios,False
2018,9,8,0,Magic Man,Billy Hamilton,False
2018,9,9,0,Dirty Sanchez,Rafael Devers,False
2018,9,10,0,Sale For The Title,Travis Shaw,False
2018,10,1,0,Sale For The Title,Carlos Santana,False
2018,10,2,0,Dirty Sanchez,Corey Knebel,False
