year,team,player_name,position,eligible_slots,pro_team
2018,Dirty Sanchez,Madison Bumgarner,C,"P,SP,BE,IL",SF
2018,Dirty Sanchez,Gary Sanchez,1B,"C,DH,UTIL,BE,IL",NYY
2018,Dirty Sanchez,Noah Syndergaard,C,"P,SP,BE,IL",NYM
2018,Dirty Sanchez,Christian Yelich,1B/3B,"OF,LF,CF,RF,UTIL,BE,IL",Mil
2018,Dirty Sanchez,Xander Bogaerts,OF,"SS,2B/SS,UTIL,BE,IL,IF",Bos
2018,Dirty Sanchez,Corey Knebel,RF,"P,RP,BE,IL",Mil
2018,Dirty Sanchez,Daniel Murphy,3B,"1B,2B,2B/SS,1B/3B,UTIL,BE,IL,IF",Col
2018,Dirty Sanchez,Michael Fulmer,C,"P,SP,BE,IL",Det
2018,Dirty Sanchez,Ozzie Albies,3B,"2B,2B/SS,UTIL,BE,IL,IF",Atl
2018,Dirty Sanchez,Marcell Ozuna,2B/SS,"OF,LF,UTIL,BE,IL",StL
2018,Dirty Sanchez,Juan Soto,LF,"OF,LF,RF,UTIL,BE,IL",Wsh
2018,Dirty Sanchez,Clayton Kershaw,C,"P,SP,BE,IL",LAD
2018,Dirty Sanchez,Max Muncy,SS,"1B,2B,3B,2B/SS,1B/3B,UTIL,BE,IL,IF",LAD
2018,Dirty Sanchez,Wil Myers,2B,"1B,3B,OF,1B/3B,LF,RF,UTIL,BE,IL,IF",SD
2018,Dirty Sanchez,Zack Wheeler,C,"P,SP,BE,IL",NYM
2018,Dirty Sanchez,Danny Duffy,C,"P,SP,BE,IL",KC
2018,Dirty Sanchez,Brian Dozier,3B,"2B,2B/SS,UTIL,BE,IL,IF",LAD
2018,Dirty Sanchez,Luis Castillo,C,"P,SP,BE,IL",Cin
2018,Dirty Sanchez,Tanner Roark,C,"P,SP,BE,IL",Cin
2018,Dirty Sanchez,Ryan Borucki,C,"P,SP,BE,IL",Tor
2018,Dirty Sanchez,Mike Zunino,1B,"C,UTIL,BE,IL",TB
2018,Dirty Sanchez,German Marquez,C,"P,SP,BE,IL",Col
2018,Dirty Sanchez,Brian Johnson,C,"P,SP,BE,IL",Bos
2018,Dirty Sanchez,Tyler Glasnow,RF,"P,SP,RP,BE,IL",TB
2018,Dirty Sanchez,Joey Lucchesi,C,"P,SP,BE,IL",SD
2018,Dirty Sanchez,Jakob Junis,C,"P,SP,BE,IL",KC
2018,Sale For The Title,Chris Sale,C,"P,SP,BE,IL",Bos
2018,Sale For The Title,Corey Kluber,C,"P,SP,BE,IL",Cle
2018,Sale For The Title,Kenley Jansen,RF,"P,RP,BE,IL",LAD
2018,Sale For The Title,Zack Greinke,C,"P,SP,BE,IL",Ari
2018,Sale For The Title,Aroldis Chapman,RF,"P,RP,BE,IL",NYY
2018,Sale For The Title,Travis Shaw,SS,"1B,2B,3B,2B/SS,1B/3B,UTIL,BE,IL,IF",Mil
2018,Sale For The Title,Marwin Gonzalez,OF,"1B,2B,SS,OF,2B/SS,1B/3B,LF,UTIL,BE,IL,IF",Hou
2018,Sale For The Title,Didi Gregorius,OF,"SS,2B/SS,UTIL,BE,IL,IF",NYY
2018,Sale For The Title,Ivan Nova,C,"P,SP,BE,IL",ChW
2018,Sale For The Title,Vince Velasquez,C,"P,SP,BE,IL",Phi
2018,Sale For The Title,Odubel Herrera,1B/3B,"OF,CF,UTIL,BE,IL",Phi
2018,Sale For The Title,Junior Guerra,RF,"P,SP,RP,BE,IL",Mil
