year,round,pick,overall,team,player_name,keeper
2015,10,2,0,Smokin' Bases,Alex Wood,False
2015,10,3,0,Harley - Simons Inc.,Salvador Perez,False
2015,10,4,0,Pedroia Owns U,Yadier Molina,False
2015,10,5,0,Napoli  Headed Hoes,Pablo Sandoval,False
2015,10,6,0,Triple A  Titties ,Jorge Soler,False
2015,10,7,0,Real Men of Genius,Trevor Rosenthal,False
2015,10,8,0,Buck Showalter,Ryan Zimmerman,False
2015,10,9,0,Fear The Beards,Kolten Wong,False
2015,10,10,0,THE  SAUCE,Matt Wieters,False
2015,10,11,0,NY GMY's,David Robertson,False
2015,10,12,0,Magic Man,Joc Pederson,False
2015,11,1,0,Magic Man,Doug Fister,False
2015,11,2,0,NY GMY's,Lance Lynn,False
2015,11,3,0,THE  SAUCE,Chris Archer,False
2015,11,4,0,Fear The Beards,Kenley Jansen,False
2015,11,5,0,Buck Showalter,Hyun-Jin Ryu,False
2015,11,6,0,Real Men of Genius,Yordano Ventura,False
2015,11,7,0,Triple A  Titties ,Rusney Castillo,False
2015,11,8,0,Napoli  Headed Hoes,Huston Street,False
2015,11,9,0,Pedroia Owns U,Elvis Andrus,False
2015,11,10,0,Harley - Simons Inc.,Alex Cobb,False
2015,11,11,0,Smokin' Bases,Jimmy Rollins,False
2015,11,12,0,RollieFingers YerMom,Cody Allen,False
2015,12,1,0,RollieFingers YerMom,Mat Latos,False
2015,12,2,0,Smokin' Bases,Xander Bogaerts,False
2015,12,3,0,Harley - Simons Inc.,Josh Harrison,False
2015,12,4,0,Pedroia Owns U,Matt Carpenter,False
2015,12,5,0,Napoli  Headed Hoes,Andrew Cashner,False
2015,12,6,0,Triple A  Titties ,Brian McCann,False
2015,12,7,0,Real Men of Genius,Anibal Sanchez,False
2015,12,8,0,Buck Showalter,Zach Britton,False
2015,12,9,0,Fear The Beards,Neil Walker,False
2015,12,10,0,THE  SAUCE,A.J. Pollock,False
2015,12,11,0,NY GMY's,Charlie Blackmon,False
2015,12,12,0,Magic Man,Francisco Liriano,False
2015,13,1,0,Magic Man,Taijuan Walker,False
2015,13,2,0,NY GMY's,Leonys Martin,False
2015,13,3,0,THE  SAUCE,J.D. Martinez,False
2015,13,4,0,Fear The Beards,Jered Weaver,False
2015,13,5,0,Buck Showalter,Gregory Polanco,False
2015,13,6,0,Real Men of Genius,Homer Bailey,False
2015,13,7,0,Triple A  Titties ,Justin Verlander,False
2015,13,8,0,Napoli  Headed Hoes,Jose Fernandez,False
2015,13,9,0,Pedroia Owns U,Michael Pineda,False
2015,13,10,0,Harley - Simons Inc.,Glen Perkins,False
2015,13,11,0,Smokin' Bases,Dellin Betances,False
2015,13,12,0,RollieFingers YerMom,Brett Gardner,False
2015,14,1,0,RollieFingers YerMom,Wil Myers,False
2015,14,2,0,Smokin' Bases,Daniel Murphy,False
2015,14,3,0,Harley - Simons Inc.,Matt Adams,False
