RK,Team,W,L,T,PCT,H,R,HR,TB,RBI,BB,SB,AVG,K,QS,CG,W,L,SV,ERA,WHIP
1,Buck Showalter,162,96,30,0.615,1312,687,174,2141,607,472,76,0.2891,1438,122,8,89,70,126,3.425,1.142
2,NY GMY's,165,102,21,0.609,1232,664,168,2055,643,420,83,0.2655,1419,133,9,94,85,64,3.831,1.224
3,Magic Man,148,116,24,0.556,1235,680,194,2100,615,539,78,0.2782,1544,154,4,99,101,17,3.885,1.256
4,Napoli Headed Hoes,140,125,23,0.526,1184,629,157,1930,575,405,76,0.2592,1434,152,6,102,85,67,3.362,1.22
5,Smokin' Bases,137,125,26,0.521,1260,619,170,2064,663,462,64,0.2787,1341,116,4,91,86,78,3.88,1.239
6,Fear The Beards,130,121,37,0.516,1205,596,164,1979,610,413,83,0.2585,1322,128,7,105,91,57,3.971,1.274
7,Triple A Titties,127,136,25,0.484,1079,572,160,1782,599,467,68,0.2603,1241,121,11,90,74,49,3.492,1.14
8,Real Men of Genius,122,135,31,0.477,1273,656,171,2076,643,365,84,0.2823,1058,104,6,78,84,108,4.175,1.299
9,THE SAUCE,115,144,29,0.45,1142,630,183,1950,601,386,69,0.2639,1138,112,4,82,83,67,3.87,1.307
10,RollieFingers YerMom,112,145,31,0.443,1282,631,150,2021,566,366,131,0.2756,1202,99,4,70,101,57,4.344,1.313
11,Harley - Simons Inc.,100,154,34,0.406,1262,564,108,1871,498,282,122,0.275,1209,105,1,67,86,90,4.035,1.332
12,Pedroia Owns U,100,159,29,0.398,1148,567,163,1902,614,415,52,0.267,1070,109,5,79,72,52,3.873,1.266
