year,week,team,opponent,cats_won,cats_lost,cats_tied,H_value,H_result,R_value,R_result,HR_value,HR_result,TB_value,TB_result,RBI_value,RBI_result,BB_value,BB_result,SB_value,SB_result,AVG_value,AVG_result,K_value,K_result,QS_value,QS_result,W_value,W_result,L_value,L_result,SV_value,SV_result,HD_value,HD_result,ERA_value,ERA_result,WHIP_value,WHIP_result
2022,1,The G.O.A.T,MOArch Redbirds,11,4,1,84.0,1,48.0,1,22.0,1,172.0,1,64.0,1,33.0,-1,7.0,1,0.26837061,1,77.0,-1,2.0,-1,3.0,0,4.0,1,3.0,-1,1.0,1,3.21428571,1,1.02380952,1
2022,1,MOArch Redbirds,The G.O.A.T,4,11,1,77.0,-1,41.0,-1,14.0,-1,132.0,-1,38.0,-1,54.0,1,2.0,-1,0.23404255,-1,88.0,1,3.0,1,3.0,0,6.0,-1,4.0,1,0.0,-1,4.01908397,-1,1.35114504,-1
2022,1,Delray Beach Air Biscuits,Buck Showalter,9,6,1,70.0,-1,49.0,1,15.0,1,134.0,1,47.0,1,32.0,-1,3.0,-1,0.24054983,-1,82.0,-1,2.0,-1,6.0,0,6.0,1,9.0,1,1.0,1,3.66898955,1,1.22299652,1
2022,1,Buck Showalter,Delray Beach Air Biscuits,6,9,1,80.0,1,41.0,-1,11.0,-1,130.0,-1,42.0,-1,41.0,1,4.0,1,0.24464832,1,114.0,1,6.0,1,6.0,0,11.0,-1,2.0,-1,0.0,-1,4.02985075,-1,1.26268657,-1
2022,1,The Basitt Hounds,Cream City Cowtippers,11,3,2,82.0,1,57.0,1,15.0,1,146.0,1,52.0,1,36.0,1,2.0,-1,0.25465839,1,110.0,0,3.0,0,6.0,1,5.0,1,0.0,-1,5.0,-1,2.83806818,1,1.22727273,1
2022,1,Cream City Cowtippers,The Basitt Hounds,3,11,2,72.0,-1,42.0,-1,11.0,-1,124.0,-1,43.0,-1,23.0,-1,4.0,1,0.21818182,-1,110.0,0,3.0,0,3.0,-1,10.0,-1,8.0,1,6.0,1,4.75415282,-1,1.3654485,-1
2022,1,Smokin' Bases,Lisa dANN,3,10,3,83.0,-1,40.0,0,13.0,-1,138.0,-1,49.0,0,38.0,1,3.0,-1,0.25075529,-1,113.0,1,2.0,-1,6.0,0,4.0,-1,7.0,1,0.0,-1,3.77507599,-1,1.2218845,-1
2022,1,Lisa dANN,Smokin' Bases,10,3,3,85.0,1,40.0,0,14.0,1,146.0,1,49.0,0,27.0,-1,6.0,1,0.26898734,1,72.0,-1,3.0,1,6.0,0,3.0,1,3.0,-1,1.0,1,2.57142857,1,0.97402597,1
2022,1,Daisy + Shay Bel-Airs,Wander Vision,11,5,0,79.0,1,40.0,1,8.0,1,124.0,1,32.0,-1,28.0,-1,10.0,1,0.23303835,1,105.0,1,5.0,1,9.0,1,10.0,-1,4.0,1,0.0,-1,4.83713355,1,1.32899023,-1
2022,1,Wander Vision,Daisy + Shay Bel-Airs,5,11,0,77.0,-1,38.0,-1,6.0,-1,117.0,-1,35.0,1,31.0,1,6.0,-1,0.23053892,-1,93.0,-1,1.0,-1,5.0,-1,3.0,1,2.0,-1,1.0,1,5.4,-1,1.24,1
2022,2,MOArch Redbirds,Buck Showalter,5,9,2,66.0,1,25.0,0,7.0,1,108.0,1,32.0,1,16.0,-1,2.0,-1,0.29333333,1,44.0,-1,2.0,-1,2.0,-1,2.0,-1,0.0,-1,0.0,0,4.06015038,-1,1.28571429,-1
2022,2,Buck Showalter,MOArch Redbirds,9,5,2,35.0,-1,25.0,0,2.0,-1,53.0,-1,14.0,-1,28.0,1,4.0,1,0.18041237,-1,48.0,1,5.0,1,7.0,1,1.0,1,3.0,1,0.0,0,1.90384615,1,0.86538462,1
2022,2,Cream City Cowtippers,The G.O.A.T,7,9,0,54.0,-1,21.0,-1,7.0,-1,83.0,-1,28.0,-1,19.0,1,6.0,-1,0.24545455,-1,78.0,1,7.0,1,7.0,1,4.0,1,2.0,-1,3.0,1,2.3625,-1,0.8625,1
2022,2,The G.O.A.T,Cream City Cowtippers,9,7,0,57.0,1,27.0,1,10.0,1,103.0,1,32.0,1,18.0,-1,8.0,1,0.27014218,1,72.0,-1,3.0,-1,4.0,-1,6.0,-1,4.0,1,2.0,-1,2.22077922,1,1.07792208,-1
2022,2,Lisa dANN,Delray Beach Air Biscuits,7,7,2,48.0,0,20.0,-1,4.0,0,71.0,-1,19.0,-1,20.0,1,0.0,-1,0.24,1,82.0,1,3.0,-1,3.0,-1,2.0,1,4.0,-1,2.0,1,3.04411765,1,1.08823529,1
2022,2,Delray Beach Air Biscuits,Lisa dANN,7,7,2,48.0,0,22.0,1,4.0,0,73.0,1,33.0,1,17.0,-1,1.0,1,0.23300971,-1,74.0,-1,6.0,1,6.0,1,3.0,-1,6.0,1,0.0,-1,3.46692607,-1,1.14396887,-1
2022,2,Wander Vision,The Basitt Hounds,11,5,0,61.0,1,35.0,1,11.0,1,112.0,1,28.0,1,24.0,1,2.0,1,0.28638498,1,65.0,-1,3.0,-1,7.0,-1,3.0,1,2.0,1,1.0,-1,3.375,1,1.171875,-1
2022,2,The Basitt Hounds,Wander Vision,5,11,0,47.0,-1,29.0,-1,9.0,-1,81.0,-1,24.0,-1,12.0,-1,1.0,-1,0.22169811,-1,75.0,1,4.0,1,8.0,1,5.0,-1,0.0,-1,3.0,1,3.38961039,-1,1.14285714,1
2022,2,Daisy + Shay Bel-Airs,Smokin' Bases,3,10,3,42.0,-1,26.0,-1,3.0,-1,67.0,-1,19.0,-1,19.0,-1,3.0,0,0.19905213,-1,76.0,1,7.0,1,4.0,-1,5.0,0,2.0,-1,0.0,0,4.12809917,-1,1.22727273,1
2022,2,Smokin' Bases,Daisy + Shay Bel-Airs,10,3,3,48.0,1,29.0,1,10.0,1,89.0,1,27.0,1,21.0,1,3.0,0,0.22966507,1,65.0,-1,2.0,-1,5.0,1,5.0,0,3.0,1,0.0,0,3.04615385,1,1.33846154,-1
2022,3,Cream City Cowtippers,MOArch Redbirds,12,3,1,53.0,1,29.0,1,9.0,1,89.0,1,38.0,1,25.0,1,3.0,1,0.22844828,1,76.0,-1,7.0,1,11.0,1,2.0,1,4.0,1,1.0,0,2.64255319,-1,1.05957447,-1
2022,3,MOArch Redbirds,Cream City Cowtippers,3,12,1,41.0,-1,22.0,-1,7.0,-1,73.0,-1,29.0,-1,21.0,-1,0.0,-1,0.18981481,-1,87.0,1,6.0,-1,7.0,-1,5.0,-1,1.0,-1,1.0,0,2.5875,1,0.9875,1
2022,3,Buck Showalter,Lisa dANN,9,5,2,52.0,1,30.0,1,6.0,0,80.0,1,26.0,1,24.0,1,6.0,1,0.27225131,1,75.0,1,6.0,0,5.0,1,7.0,-1,3.0,-1,0.0,-1,4.17991632,-1,1.39330544,-1
2022,3,Lisa dANN,Buck Showalter,5,9,2,48.0,-1,28.0,-1,6.0,0,79.0,-1,24.0,-1,23.0,-1,2.0,-1,0.24,-1,48.0,-1,6.0,0,3.0,-1,5.0,1,6.0,1,2.0,1,2.7,1,1.29375,1
2022,3,The G.O.A.T,Wander Vision,7,8,1,48.0,-1,25.0,-1,9.0,1,88.0,1,28.0,1,18.0,-1,1.0,-1,0.22641509,-1,80.0,1,8.0,1,3.0,-1,4.0,-1,3.0,0,2.0,1,2.72177419,-1,0.90725806,1
2022,3,Wander Vision,The G.O.A.T,8,7,1,57.0,1,33.0,1,6.0,-1,81.0,-1,21.0,-1,19.0,1,5.0,1,0.26511628,1,72.0,-1,7.0,-1,5.0,1,3.0,1,3.0,0,1.0,-1,2.2699115,1,0.95575221,-1
2022,3,Delray Beach Air Biscuits,Daisy + Shay Bel-Airs,7,9,0,59.0,1,39.0,1,8.0,-1,97.0,-1,29.0,-1,24.0,1,6.0,-1,0.27314815,1,51.0,-1,7.0,1,3.0,-1,5.0,-1,3.0,1,2.0,1,3.73404255,-1,1.21276596,-1
2022,3,Daisy + Shay Bel-Airs,Delray Beach Air Biscuits,9,7,0,57.0,-1,34.0,-1,11.0,1,104.0,1,40.0,1,23.0,-1,9.0,1,0.26267281,-1,97.0,1,5.0,-1,8.0,1,3.0,1,1.0,-1,0.0,-1,3.42537313,1,1.09701493,1
2022,3,The Basitt Hounds,Smokin' Bases,9,5,2,64.0,1,36.0,1,13.0,1,119.0,1,28.0,1,29.0,1,3.0,-1,0.30917874,1,61.0,-1,7.0,0,5.0,0,3.0,-1,0.0,-1,1.0,1,3.91304348,-1,1.13043478,1
2022,3,Smokin' Bases,The Basitt Hounds,5,9,2,48.0,-1,25.0,-1,6.0,-1,74.0,-1,22.0,-1,24.0,-1,4.0,1,0.23076923,-1,68.0,1,7.0,0,5.0,0,2.0,1,6.0,1,0.0,-1,2.34246575,1,1.17808219,-1
2022,4,MOArch Redbirds,Lisa dANN,12,4,0,56.0,1,33.0,1,10.0,1,99.0,1,31.0,1,25.0,1,0.0,-1,0.26666667,1,64.0,1,5.0,1,5.0,1,6.0,-1,8.0,1,0.0,-1,3.12875536,1,1.18454936,-1
2022,4,Lisa dANN,MOArch Redbirds,4,12,0,47.0,-1,24.0,-1,6.0,-1,78.0,-1,23.0,-1,19.0,-1,3.0,1,0.23039216,-1,57.0,-1,3.0,-1,4.0,-1,1.0,1,1.0,-1,2.0,1,3.53793103,-1,1.05517241,1
2022,4,Wander Vision,Cream City Cowtippers,8,7,1,58.0,-1,29.0,-1,8.0,1,97.0,1,31.0,1,22.0,-1,2.0,0,0.25327511,-1,61.0,-1,4.0,-1,5.0,-1,3.0,1,4.0,1,3.0,1,3.05357143,1,1.23214286,1
2022,4,Cream City Cowtippers,Wander Vision,7,8,1,65.0,1,34.0,1,5.0,-1,96.0,-1,29.0,-1,31.0,1,2.0,0,0.27083333,1,70.0,1,5.0,1,6.0,1,5.0,-1,2.0,-1,1.0,-1,3.75652174,-1,1.34347826,-1
2022,4,Daisy + Shay Bel-Airs,Buck Showalter,2,13,1,45.0,-1,20.0,-1,4.0,-1,66.0,-1,22.0,-1,20.0,-1,3.0,-1,0.2184466,-1,89.0,1,7.0,-1,5.0,-1,3.0,0,1.0,-1,1.0,1,3.08856089,-1,1.07380074,-1
2022,4,Buck Showalter,Daisy + Shay Bel-Airs,13,2,1,53.0,1,30.0,1,12.0,1,102.0,1,32.0,1,26.0,1,5.0,1,0.26237624,1,70.0,-1,8.0,1,7.0,1,3.0,0,3.0,1,0.0,-1,3.07317073,1,1.0,1
2022,4,Smokin' Bases,The G.O.A.T,10,5,1,63.0,1,30.0,1,9.0,1,107.0,1,26.0,1,20.0,1,4.0,0,0.27510917,1,56.0,1,3.0,-1,3.0,-1,8.0,-1,4.0,1,0.0,-1,4.29850746,1,1.37313433,-1
2022,4,The G.O.A.T,Smokin' Bases,5,10,1,39.0,-1,20.0,-1,3.0,-1,62.0,-1,20.0,-1,18.0,-1,4.0,0,0.17567568,-1,50.0,-1,5.0,1,5.0,1,3.0,1,3.0,-1,1.0,1,4.3857868,-1,1.29441624,1
2022,4,The Basitt Hounds,Delray Beach Air Biscuits,11,5,0,59.0,1,32.0,1,10.0,1,102.0,1,27.0,1,22.0,1,1.0,-1,0.26576577,1,81.0,1,7.0,1,6.0,1,7.0,-1,0.0,-1,3.0,1,3.05474453,-1,1.14963504,-1
2022,4,Delray Beach Air Biscuits,The Basitt Hounds,5,11,0,54.0,-1,24.0,-1,8.0,-1,88.0,-1,24.0,-1,21.0,-1,3.0,1,0.25837321,-1,74.0,-1,6.0,-1,3.0,-1,3.0,1,4.0,1,0.0,-1,2.39719626,1,0.93925234,1
2022,5,Wander Vision,MOArch Redbirds,11,4,1,59.0,1,32.0,1,10.0,1,104.0,1,36.0,1,12.0,-1,5.0,1,0.26222222,1,69.0,1,2.0,-1,3.0,0,4.0,-1,5.0,1,2.0,1,4.97368421,-1,1.23157895,1
2022,5,MOArch Redbirds,Wander Vision,4,11,1,45.0,-1,28.0,-1,7.0,-1,82.0,-1,22.0,-1,23.0,1,3.0,-1,0.21327014,-1,53.0,-1,5.0,1,3.0,0,3.0,1,0.0,-1,1.0,-1,4.16489362,1,1.27659574,-1
2022,5,Lisa dANN,Daisy + Shay Bel-Airs,1,13,2,48.0,-1,24.0,-1,5.0,-1,72.0,-1,24.0,-1,17.0,-1,4.0,-1,0.22857143,-1,47.0,-1,3.0,-1,5.0,0,5.0,-1,3.0,1,0.0,0,4.21875,-1,1.44375,-1
2022,5,Daisy + Shay Bel-Airs,Lisa dANN,13,1,2,67.0,1,48.0,1,16.0,1,129.0,1,48.0,1,26.0,1,9.0,1,0.27459016,1,77.0,1,9.0,1,5.0,0,2.0,1,0.0,-1,0.0,0,3.20338983,1,1.13135593,1
2022,5,Cream City Cowtippers,Smokin' Bases,3,11,2,57.0,-1,32.0,-1,8.0,-1,105.0,1,28.0,-1,25.0,-1,3.0,1,0.26886792,-1,68.0,-1,6.0,-1,5.0,1,4.0,0,2.0,-1,0.0,0,4.14522822,-1,1.34439834,-1
2022,5,Smokin' Bases,Cream City Cowtippers,11,3,2,64.0,1,38.0,1,9.0,1,104.0,-1,35.0,1,35.0,1,2.0,-1,0.3062201,1,76.0,1,8.0,1,3.0,-1,4.0,0,3.0,1,0.0,0,2.80995475,1,0.90950226,1
2022,5,Buck Showalter,The Basitt Hounds,5,11,0,35.0,-1,27.0,-1,9.0,-1,70.0,-1,25.0,-1,26.0,1,2.0,-1,0.19021739,-1,65.0,-1,4.0,-1,4.0,-1,3.0,1,1.0,1,0.0,-1,4.02762431,1,1.16022099,1
2022,5,The Basitt Hounds,Buck Showalter,11,5,0,50.0,1,35.0,1,10.0,1,93.0,1,32.0,1,22.0,-1,4.0,1,0.25125628,1,87.0,1,5.0,1,5.0,1,6.0,-1,0.0,-1,1.0,1,4.09090909,-1,1.32954545,-1
2022,5,The G.O.A.T,Delray Beach Air Biscuits,9,6,1,49.0,-1,29.0,0,6.0,-1,77.0,-1,32.0,1,17.0,-1,8.0,1,0.24623116,1,64.0,-1,5.0,1,7.0,1,5.0,-1,3.0,1,1.0,1,3.55263158,1,1.17105263,1
2022,5,Delray Beach Air Biscuits,The G.O.A.T,6,9,1,54.0,1,29.0,0,7.0,1,92.0,1,26.0,-1,21.0,1,3.0,-1,0.24215247,-1,66.0,1,4.0,-1,4.0,-1,3.0,1,2.0,-1,0.0,-1,4.28571429,-1,1.26984127,-1
2022,6,MOArch Redbirds,Daisy + Shay Bel-Airs,7,9,0,52.0,-1,15.0,-1,4.0,-1,76.0,-1,18.0,-1,24.0,1,1.0,-1,0.25490196,1,81.0,1,4.0,-1,6.0,-1,2.0,1,7.0,1,2.0,1,3.09251101,-1,1.05726872,1
2022,6,Daisy + Shay Bel-Airs,MOArch Redbirds,9,7,0,59.0,1,28.0,1,9.0,1,100.0,1,33.0,1,23.0,-1,6.0,1,0.23505976,-1,65.0,-1,8.0,1,7.0,1,4.0,-1,0.0,-1,0.0,-1,2.98770492,1,1.18032787,-1
2022,6,Smokin' Bases,Wander Vision,12,3,1,66.0,1,34.0,1,4.0,-1,94.0,-1,31.0,1,26.0,1,7.0,1,0.30697674,1,72.0,1,7.0,0,6.0,1,3.0,1,5.0,1,1.0,-1,2.89699571,1,1.27467811,1
2022,6,Wander Vision,Smokin' Bases,3,12,1,61.0,-1,28.0,-1,7.0,1,100.0,1,30.0,-1,20.0,-1,4.0,-1,0.305,-1,71.0,-1,7.0,0,3.0,-1,8.0,-1,3.0,-1,2.0,1,4.9707113,-1,1.40585774,-1
2022,6,The Basitt Hounds,Lisa dANN,14,1,1,64.0,1,33.0,1,11.0,1,115.0,1,33.0,1,20.0,1,3.0,1,0.27467811,1,74.0,1,5.0,1,5.0,1,4.0,0,0.0,-1,2.0,1,3.52173913,1,1.2687747,1
2022,6,Lisa dANN,The Basitt Hounds,1,14,1,38.0,-1,27.0,-1,3.0,-1,52.0,-1,18.0,-1,19.0,-1,1.0,-1,0.1928934,-1,56.0,-1,2.0,-1,4.0,-1,4.0,0,3.0,1,1.0,-1,5.13496933,-1,1.32515337,-1
2022,6,Delray Beach Air Biscuits,Cream City Cowtippers,7,8,1,63.0,1,33.0,1,7.0,-1,102.0,1,38.0,1,23.0,1,4.0,0,0.27753304,1,65.0,-1,2.0,-1,3.0,-1,7.0,-1,6.0,1,0.0,-1,5.65445026,-1,1.52356021,-1
2022,6,Cream City Cowtippers,Delray Beach Air Biscuits,8,7,1,58.0,-1,29.0,-1,10.0,1,97.0,-1,23.0,-1,16.0,-1,4.0,0,0.24166667,-1,76.0,1,6.0,1,6.0,1,2.0,1,3.0,-1,2.0,1,2.4244898,1,1.12653061,1
2022,6,The G.O.A.T,Buck Showalter,9,6,1,64.0,1,41.0,1,16.0,1,125.0,1,41.0,1,22.0,1,3.0,-1,0.25910931,-1,85.0,1,6.0,0,2.0,-1,5.0,-1,3.0,-1,2.0,1,3.85714286,-1,1.14642857,1
2022,6,Buck Showalter,The G.O.A.T,6,9,1,54.0,-1,25.0,-1,7.0,-1,91.0,-1,24.0,-1,18.0,-1,5.0,1,0.27135678,1,69.0,-1,6.0,0,3.0,1,2.0,1,4.0,1,0.0,-1,3.6185567,1,1.15979381,-1
