year,team,player_name,position,eligible_slots,pro_team
2022,The G.O.A.T,Jose Ramirez,SS,"3B,1B/3B,IF,UTIL,BE,IL,DH",Cle
2022,The G.O.A.T,Shane Bieber,C,"P,SP,BE,IL",Cle
2022,The G.O.A.T,Luis Robert,1B/3B,"CF,OF,UTIL,BE,IL",ChW
2022,The G.O.A.T,Trevor Story,OF,"SS,2B/SS,IF,UTIL,BE,IL,2B",Bos
2022,The G.O.A.T,Francisco Lindor,OF,"SS,2B/SS,IF,UTIL,BE,IL",NYM
2022,The G.O.A.T,Blake Snell,C,"P,SP,BE,IL",SD
2022,The G.O.A.T,Justin Verlander,C,"P,SP,BE,IL",NYM
2022,The G.O.A.T,Anthony Rizzo,2B,"1B,1B/3B,IF,UTIL,BE,IL",NYY
2022,The G.O.A.T,Kenley Jansen,RF,"P,RP,BE,IL",Bos
2022,The G.O.A.T,Corey Kluber,C,"P,SP,BE,IL",Bos
2022,The G.O.A.T,Miles Mikolas,C,"P,SP,BE,IL",StL
2022,The G.O.A.T,Jameson Taillon,C,"P,SP,BE,IL",ChC
2022,The G.O.A.T,A.J. Minter,RF,"P,RP,BE,IL",Atl
2022,The G.O.A.T,Brady Singer,C,"P,SP,BE,IL",KC
2022,The G.O.A.T,Cedric Mullins,1B/3B,"CF,OF,UTIL,BE,IL",Bal
2022,The G.O.A.T,David Robertson,RF,"P,RP,BE,IL",NYM
2022,The G.O.A.T,Ranger Suarez,RF,"P,SP,RP,BE,IL",Phi
2022,The G.O.A.T,Matt Chapman,SS,"3B,1B/3B,IF,UTIL,BE,IL",Tor
2022,The G.O.A.T,Dustin May,C,"P,SP,BE,IL",LAD
2022,The G.O.A.T,Jean Segura,3B,"2B,2B/SS,IF,UTIL,BE,IL",Mia
2022,The G.O.A.T,MJ Melendez,1B,"C,UTIL,BE,IL,DH,RF,OF,LF",KC
2022,The G.O.A.T,Seiya Suzuki,LF,"RF,OF,UTIL,BE,IL",ChC
