,Name,Team,z_total,z_H,z_R,z_HR,z_TB,z_RBI,z_BB,z_SB,z_AVG,H,R,HR,TB,RBI,BB,SB,AVG,Type,Pos,z_K,z_QS,z_W,z_L,z_SV,z_HD,z_ERA,z_WHIP,K,QS,W,L,SV,HD,ERA,WHIP,espn_rank,espn_rank_roto,espn_auction
220,Ryan Helsley,- - -,-0.463,,,,,,,,,,,,,,,,,PIT,PIT,-1.513,-1.602,-1.508,1.066,1.284,-0.158,-0.902,-2.13,63.0,0.0,3.0,4.0,21.0,1.0,4.5,1.54,174,122.0,1.0
221,Anthony Volpe,NYY,-0.466,-1.157,-0.86,-0.653,-0.842,-0.483,-0.564,0.386,-2.025,114.0,65.0,19.0,211.0,72.0,43.0,18.0,0.212,BAT,BAT,,,,,,,,,,,,,,,,,502,201.0,0.0
222,Gavin Sheets,SDP,-0.487,-0.716,-1.316,-0.653,-0.842,-0.542,-0.52,-1.032,-0.31,124.0,57.0,19.0,211.0,71.0,44.0,2.0,0.252,BAT,BAT,,,,,,,,,,,,,,,,,258,290.0,0.0
223,Matt Chapman,SFG,-0.487,-1.555,-0.234,-0.438,-1.214,-1.133,0.679,-0.411,-1.21,105.0,76.0,21.0,195.0,61.0,71.0,9.0,0.231,BAT,BAT,,,,,,,,,,,,,,,,,118,104.0,4.0
224,Addison Barger,TOR,-0.49,-1.246,-1.088,-0.438,-0.888,-0.365,-0.875,-0.855,-0.696,112.0,61.0,21.0,209.0,74.0,36.0,4.0,0.243,BAT,BAT,,,,,,,,,,,,,,,,,260,206.0,0.0
225,Miguel Vargas,CHW,-0.492,-0.981,-0.006,-0.976,-1.051,-1.192,0.013,-0.677,-1.082,118.0,80.0,16.0,202.0,60.0,56.0,6.0,0.234,BAT,BAT,,,,,,,,,,,,,,,,,229,356.0,0.0
226,Kerry Carpenter,DET,-0.495,-1.378,-0.803,0.101,-0.749,-1.073,-1.674,-1.121,-0.31,109.0,66.0,26.0,215.0,62.0,18.0,1.0,0.252,BAT,BAT,,,,,,,,,,,,,,,,,215,223.0,0.0
227,Luis Garcia Jr.,WSN,-0.501,-0.76,-0.746,-0.976,-1.075,-0.837,-1.274,0.032,-0.31,123.0,67.0,16.0,201.0,66.0,27.0,14.0,0.252,BAT,BAT,,,,,,,,,,,,,,,,,192,192.0,0.0
228,Marcell Ozuna,ATL,-0.502,-1.201,-1.088,-0.438,-1.214,-0.719,1.699,-1.209,-1.167,113.0,61.0,21.0,195.0,68.0,94.0,0.0,0.232,BAT,BAT,,,,,,,,,,,,,,,,,201,303.0,0.0
229,Kyle Manzardo,CLE,-0.52,-1.334,-1.885,0.208,-0.772,-0.601,-0.342,-1.032,-1.082,110.0,47.0,27.0,214.0,70.0,48.0,2.0,0.234,BAT,BAT,,,,,,,,,,,,,,,,,323,216.0,0.0
230,Drake Baldwin,ATL,-0.528,-1.29,-1.373,-0.653,-1.331,-0.01,-0.786,-1.209,0.634,111.0,56.0,19.0,190.0,80.0,38.0,0.0,0.274,BAT,BAT,,,,,,,,,,,,,,,,,91,97.0,8.0
231,Adolis Garcia,TEX,-0.536,-1.113,-1.259,-0.653,-1.098,-0.306,-1.23,-0.057,-1.382,115.0,58.0,19.0,200.0,75.0,28.0,13.0,0.227,BAT,BAT,,,,,,,,,,,,,,,,,207,270.0,0.0
232,Ivan Herrera,STL,-0.597,-1.334,-1.487,-0.653,-1.564,-0.837,-0.564,-0.5,1.063,110.0,54.0,19.0,180.0,66.0,43.0,8.0,0.284,BAT,BAT,,,,,,,,,,,,,,,,,250,214.0,0.0
233,Oneil Cruz,PIT,-0.6,-2.041,-1.031,-0.546,-1.61,-1.133,0.368,2.159,-2.54,94.0,62.0,20.0,178.0,61.0,64.0,38.0,0.2,BAT,BAT,,,,,,,,,,,,,,,,,139,102.0,2.0
234,Ronald Acuna Jr.,ATL,-0.602,-1.864,-0.348,-0.438,-1.68,-2.255,0.679,-0.411,1.32,98.0,74.0,21.0,175.0,42.0,71.0,9.0,0.29,BAT,BAT,,,,,,,,,,,,,,,,,10,7.0,45.0
235,Matt McLain,CIN,-0.669,-1.246,-0.405,-1.084,-1.68,-1.782,-0.031,0.386,-1.682,112.0,73.0,15.0,175.0,50.0,55.0,18.0,0.22,BAT,BAT,,,,,,,,,,,,,,,,,220,249.0,0.0
236,Wilyer Abreu,BOS,-0.696,-2.129,-1.544,-0.33,-1.68,-0.66,-0.697,-0.677,-0.524,92.0,53.0,22.0,175.0,69.0,40.0,6.0,0.247,BAT,BAT,,,,,,,,,,,,,,,,,200,314.0,0.0
237,Cedric Mullins,- - -,-0.754,-2.041,-1.259,-0.869,-1.797,-1.251,-0.253,0.741,-1.854,94.0,58.0,17.0,170.0,59.0,50.0,22.0,0.216,BAT,BAT,,,,,,,,,,,,,,,,,276,306.0,0.0
238,Austin Wells,NYY,-0.782,-2.305,-1.658,-0.438,-1.68,-0.542,-1.141,-0.766,-1.725,88.0,51.0,21.0,175.0,71.0,30.0,5.0,0.219,BAT,BAT,,,,,,,,,,,,,,,,,223,273.0,0.0
239,Luis Robert Jr.,CHW,-0.934,-2.438,-1.601,-1.192,-2.519,-1.605,-0.697,1.716,-1.553,85.0,52.0,14.0,139.0,53.0,40.0,33.0,0.223,BAT,BAT,,,,,,,,,,,,,,,,,254,134.0,0.0
