RK,Team,W,L,T,PCT,H,R,HR,TB,RBI,BB,SB,AVG,K,QS,W,L,SV,HD,ERA,WHIP
1,Cash Betts Only,167,98,23,0.62,1137,647,208,2057,680,427,137,0.2589,1677,128,111,82,53,17,3.269,1.123
2,Cream City Cowtippers,142,123,23,0.533,1095,661,200,1916,646,413,112,0.2462,1597,139,109,83,31,18,3.535,1.135
3,Delray Beach Air Biscuits,138,123,27,0.526,1222,647,176,2031,613,493,109,0.2725,1324,81,81,80,72,28,3.799,1.22
4,Smokin' Bases,138,131,19,0.512,1214,707,210,2104,673,545,94,0.2652,1454,89,97,78,63,32,3.649,1.184
5,Daisy + Shay Bel-Airs,135,134,19,0.502,1172,641,173,1971,623,454,157,0.2549,1647,124,106,107,9,10,4.302,1.305
6,Tony Mansolino,130,141,17,0.481,1093,636,179,1871,542,448,91,0.2601,1581,111,96,99,52,40,4.081,1.234
7,Lisa dANN,128,140,20,0.479,1026,586,166,1761,575,447,133,0.2425,1470,102,79,89,43,36,4.07,1.33
8,MOArch Redbirds,126,142,20,0.472,1131,658,217,2056,694,445,91,0.259,937,58,57,78,71,46,4.06,1.275
9,The Houston Asstros,118,150,20,0.444,1066,537,162,1783,539,452,105,0.2559,1562,112,102,103,1,53,3.935,1.259
10,The G.O.A.T,112,152,24,0.431,1098,610,178,1878,579,419,71,0.2548,1573,105,103,97,48,24,3.927,1.233
