year,week,team,opponent,cats_won,cats_lost,cats_tied,H_value,H_result,R_value,R_result,HR_value,HR_result,TB_value,TB_result,RBI_value,RBI_result,BB_value,BB_result,SB_value,SB_result,AVG_value,AVG_result,K_value,K_result,QS_value,QS_result,W_value,W_result,L_value,L_result,SV_value,SV_result,HD_value,HD_result,ERA_value,ERA_result,WHIP_value,WHIP_result
2025,1,The Houston Asstros,Daisy + Shay Bel-Airs,5,11,0,13.0,-1,4.0,-1,0.0,-1,14.0,-1,6.0,-1,10.0,-1,1.0,-1,0.12871287,-1,57.0,1,2.0,1,5.0,1,5.0,-1,0.0,-1,3.0,1,4.37837838,-1,1.13513514,1
2025,1,Daisy + Shay Bel-Airs,The Houston Asstros,11,5,0,32.0,1,13.0,1,5.0,1,57.0,1,20.0,1,14.0,1,5.0,1,0.22695035,1,43.0,-1,1.0,-1,4.0,-1,1.0,1,1.0,1,0.0,-1,4.18965517,1,1.34482759,-1
2025,1,Tony Mansolino,Cream City Cowtippers,5,11,0,36.0,1,22.0,-1,6.0,-1,62.0,-1,15.0,-1,17.0,1,2.0,-1,0.24,1,36.0,-1,3.0,-1,2.0,-1,4.0,-1,2.0,1,2.0,1,4.10869565,-1,1.32608696,-1
2025,1,Cream City Cowtippers,Tony Mansolino,11,5,0,33.0,-1,23.0,1,13.0,1,74.0,1,25.0,1,12.0,-1,3.0,1,0.23913043,-1,50.0,1,5.0,1,3.0,1,1.0,1,1.0,-1,1.0,-1,3.96,1,1.14,1
2025,1,MOArch Redbirds,Smokin' Bases,6,9,1,25.0,-1,20.0,1,6.0,1,49.0,0,18.0,1,17.0,-1,2.0,-1,0.21008403,-1,51.0,1,5.0,1,5.0,1,4.0,-1,2.0,-1,0.0,-1,4.08139535,-1,1.20348837,-1
2025,1,Smokin' Bases,MOArch Redbirds,9,6,1,27.0,1,11.0,-1,5.0,-1,49.0,0,13.0,-1,21.0,1,3.0,1,0.23076923,1,49.0,-1,4.0,-1,1.0,-1,3.0,1,4.0,1,2.0,1,1.15714286,1,0.96428571,1
2025,1,The G.O.A.T,Lisa dANN,2,14,0,24.0,-1,14.0,-1,3.0,-1,37.0,-1,9.0,-1,9.0,1,3.0,-1,0.21621622,-1,30.0,-1,0.0,-1,1.0,1,4.0,-1,1.0,-1,1.0,-1,4.61538462,-1,1.35897436,-1
2025,1,Lisa dANN,The G.O.A.T,14,2,0,34.0,1,19.0,1,6.0,1,58.0,1,17.0,1,7.0,-1,4.0,1,0.26984127,1,48.0,1,2.0,1,0.0,-1,2.0,1,2.0,1,2.0,1,3.66428571,1,1.24285714,1
2025,1,Cash Betts Only,Delray Beach Air Biscuits,9,6,1,27.0,0,14.0,-1,3.0,-1,44.0,-1,11.0,-1,17.0,1,9.0,1,0.22131148,-1,44.0,1,4.0,1,5.0,1,1.0,1,1.0,-1,1.0,1,2.34,1,0.86,1
2025,1,Delray Beach Air Biscuits,Cash Betts Only,6,9,1,27.0,0,21.0,1,8.0,1,55.0,1,24.0,1,12.0,-1,2.0,-1,0.25233645,1,41.0,-1,1.0,-1,4.0,-1,2.0,-1,3.0,1,0.0,-1,4.77876106,-1,1.53982301,-1
2025,2,Daisy + Shay Bel-Airs,Cream City Cowtippers,10,6,0,51.0,1,38.0,1,10.0,1,93.0,1,38.0,1,31.0,1,7.0,-1,0.24637681,1,85.0,1,8.0,1,6.0,-1,3.0,-1,1.0,-1,1.0,1,2.77232143,-1,1.16517857,-1
