RK,Team,W,L,T,PCT,H,R,HR,TB,RBI,BB,SB,AVG,K,QS,W,L,SV,HD,ERA,WHIP
1,Smokin' Bases,161,104,23,0.599,1140,675,223,2058,661,528,109,0.2643,1707,119,98,80,62,6,3.734,1.174
2,Pfaadt Ass Trouts,154,111,23,0.575,1086,643,182,1891,640,398,115,0.2628,1543,113,90,98,7,60,4.255,1.246
3,Daisy + Shay Bel-Airs,146,120,22,0.545,1107,639,184,1949,619,445,144,0.2425,1769,138,117,82,66,6,3.452,1.131
4,Cream City Cowtippers,136,123,29,0.523,1268,720,191,2145,649,441,125,0.2712,1662,129,111,84,61,3,3.582,1.175
5,Cash Betts Only,136,129,23,0.512,1206,641,163,1952,544,439,101,0.2644,1458,88,96,93,51,54,4.389,1.285
6,Delray Beach Air Biscuits,136,129,23,0.512,1112,614,188,1933,628,487,86,0.2601,1536,95,100,97,96,40,3.928,1.191
7,Brandon Hyde,139,134,15,0.509,1092,616,182,1895,604,398,106,0.2593,1460,103,109,98,65,15,4.124,1.282
8,Lisa dANN,123,141,24,0.469,1038,609,174,1795,571,453,99,0.2404,1513,116,89,99,52,21,3.914,1.226
9,The G.O.A.T,118,148,22,0.448,1089,528,158,1798,532,358,95,0.2607,1358,98,89,83,48,25,3.639,1.192
10,MOArch Redbirds,80,190,18,0.309,1013,549,158,1704,535,365,66,0.2311,1341,101,91,92,3,52,4.093,1.284
