year,week,team,opponent,cats_won,cats_lost,cats_tied,H_value,H_result,R_value,R_result,HR_value,HR_result,TB_value,TB_result,RBI_value,RBI_result,BB_value,BB_result,SB_value,SB_result,AVG_value,AVG_result,K_value,K_result,QS_value,QS_result,W_value,W_result,L_value,L_result,SV_value,SV_result,HD_value,HD_result,ERA_value,ERA_result,WHIP_value,WHIP_result
2024,1,Pfaadt Ass Trouts,Daisy + Shay Bel-Airs,5,9,2,29.0,-1,18.0,-1,4.0,0,47.0,-1,18.0,1,14.0,-1,4.0,-1,0.25663717,-1,57.0,-1,3.0,-1,3.0,0,1.0,1,0.0,-1,1.0,1,2.55405405,1,1.13513514,1
2024,1,Daisy + Shay Bel-Airs,Pfaadt Ass Trouts,9,5,2,30.0,1,19.0,1,4.0,0,50.0,1,10.0,-1,16.0,1,6.0,1,0.26086957,1,63.0,1,4.0,1,3.0,0,5.0,-1,1.0,1,0.0,-1,4.88135593,-1,1.22033898,-1
2024,1,Brandon Hyde,Cream City Cowtippers,5,10,1,37.0,-1,30.0,1,9.0,1,71.0,-1,31.0,1,20.0,1,1.0,-1,0.26056338,-1,48.0,1,2.0,-1,2.0,-1,4.0,-1,1.0,-1,0.0,0,5.4,-1,1.36551724,-1
2024,1,Cream City Cowtippers,Brandon Hyde,10,5,1,45.0,1,27.0,-1,8.0,-1,81.0,1,21.0,-1,10.0,-1,2.0,1,0.32142857,1,46.0,-1,3.0,1,3.0,1,0.0,1,3.0,1,0.0,0,2.808,1,1.032,1
2024,1,MOArch Redbirds,Smokin' Bases,2,12,2,38.0,-1,26.0,-1,7.0,-1,63.0,-1,27.0,1,12.0,-1,3.0,1,0.26027397,-1,27.0,-1,2.0,-1,2.0,-1,1.0,0,0.0,-1,0.0,0,4.32,-1,1.6,-1
2024,1,Smokin' Bases,MOArch Redbirds,12,2,2,47.0,1,27.0,1,8.0,1,80.0,1,23.0,-1,17.0,1,1.0,-1,0.31543624,1,50.0,1,3.0,1,4.0,1,1.0,0,1.0,1,0.0,0,2.52517986,1,1.14388489,1
2024,1,The G.O.A.T,Lisa dANN,5,9,2,30.0,0,18.0,-1,5.0,-1,55.0,-1,23.0,1,18.0,1,3.0,1,0.24,1,35.0,-1,0.0,-1,1.0,0,4.0,-1,1.0,1,0.0,-1,8.71875,-1,2.0,-1
2024,1,Lisa dANN,The G.O.A.T,9,5,2,30.0,0,21.0,1,6.0,1,57.0,1,17.0,-1,12.0,-1,2.0,-1,0.23076923,-1,43.0,1,2.0,1,1.0,0,2.0,1,0.0,-1,1.0,1,4.97368421,1,1.55921053,1
2024,1,Cash Betts Only,Delray Beach Air Biscuits,13,3,0,47.0,1,30.0,1,6.0,1,75.0,1,27.0,1,21.0,-1,3.0,-1,0.3381295,1,62.0,1,3.0,1,4.0,1,3.0,1,1.0,-1,3.0,1,3.62195122,1,1.04268293,1
2024,1,Delray Beach Air Biscuits,Cash Betts Only,3,13,0,30.0,-1,19.0,-1,3.0,-1,47.0,-1,20.0,-1,23.0,1,6.0,1,0.234375,-1,50.0,-1,2.0,-1,2.0,-1,5.0,-1,3.0,1,0.0,-1,5.09016393,-1,1.30327869,-1
2024,2,Daisy + Shay Bel-Airs,Cream City Cowtippers,3,11,2,46.0,-1,27.0,-1,3.0,-1,64.0,-1,20.0,-1,21.0,-1,6.0,1,0.23115578,-1,66.0,-1,6.0,0,6.0,-1,1.0,1,5.0,1,0.0,0,2.42152466,-1,1.15695067,-1
2024,2,Cream City Cowtippers,Daisy + Shay Bel-Airs,11,3,2,56.0,1,37.0,1,16.0,1,111.0,1,36.0,1,23.0,1,4.0,-1,0.27860697,1,94.0,1,6.0,0,7.0,1,3.0,-1,3.0,-1,0.0,0,2.07692308,1,0.96153846,1
2024,2,Smokin' Bases,Pfaadt Ass Trouts,3,13,0,56.0,-1,32.0,-1,7.0,-1,93.0,-1,26.0,-1,17.0,1,2.0,-1,0.26415094,-1,88.0,1,3.0,-1,1.0,-1,7.0,-1,1.0,1,1.0,-1,5.01769912,-1,1.31415929,-1
2024,2,Pfaadt Ass Trouts,Smokin' Bases,13,3,0,60.0,1,33.0,1,8.0,1,97.0,1,28.0,1,15.0,-1,9.0,1,0.30612245,1,66.0,-1,4.0,1,3.0,1,6.0,1,0.0,-1,3.0,1,3.44387755,1,1.17857143,1
2024,2,Lisa dANN,Brandon Hyde,13,3,0,45.0,1,31.0,1,8.0,1,82.0,1,27.0,1,24.0,1,2.0,-1,0.22277228,1,83.0,1,6.0,1,5.0,-1,3.0,1,2.0,-1,1.0,1,3.73846154,1,1.26923077,1
2024,2,Brandon Hyde,Lisa dANN,3,13,0,37.0,-1,21.0,-1,6.0,-1,61.0,-1,22.0,-1,17.0,-1,5.0,1,0.18877551,-1,56.0,-1,2.0,-1,6.0,1,5.0,-1,3.0,1,0.0,-1,5.04395604,-1,1.56593407,-1
2024,2,Delray Beach Air Biscuits,MOArch Redbirds,10,3,3,62.0,1,34.0,1,17.0,1,120.0,1,45.0,1,28.0,1,3.0,0,0.29807692,1,62.0,1,4.0,0,4.0,1,5.0,-1,5.0,1,0.0,0,3.57142857,-1,1.26984127,-1
2024,2,MOArch Redbirds,Delray Beach Air Biscuits,3,10,3,53.0,-1,30.0,-1,4.0,-1,77.0,-1,25.0,-1,22.0,-1,3.0,0,0.24200913,-1,50.0,-1,4.0,0,3.0,-1,2.0,1,0.0,-1,0.0,0,2.95081967,1,1.18032787,1
2024,2,Cash Betts Only,The G.O.A.T,7,6,3,53.0,1,34.0,1,4.0,-1,77.0,0,21.0,-1,25.0,1,2.0,0,0.24882629,1,52.0,-1,5.0,1,5.0,-1,3.0,0,1.0,-1,2.0,1,3.24,-1,1.02857143,1
2024,2,The G.O.A.T,Cash Betts Only,6,7,3,47.0,-1,23.0,-1,6.0,1,77.0,0,30.0,1,24.0,-1,2.0,0,0.23857868,-1,54.0,1,3.0,-1,7.0,1,3.0,0,2.0,1,0.0,-1,3.05084746,1,1.20338983,-1
2024,3,Smokin' Bases,Daisy + Shay Bel-Airs,4,12,0,53.0,-1,32.0,-1,13.0,-1,103.0,-1,34.0,-1,29.0,1,2.0,-1,0.25238095,-1,85.0,-1,2.0,-1,9.0,1,4.0,-1,6.0,1,1.0,1,3.52173913,-1,1.35652174,-1
2024,3,Daisy + Shay Bel-Airs,Smokin' Bases,12,4,0,57.0,1,40.0,1,17.0,1,116.0,1,45.0,1,23.0,-1,7.0,1,0.26635514,1,92.0,1,7.0,1,6.0,-1,2.0,1,1.0,-1,0.0,-1,3.44680851,1,1.07446809,1
2024,3,Cream City Cowtippers,Lisa dANN,9,6,1,63.0,1,46.0,1,17.0,1,131.0,1,43.0,1,28.0,1,3.0,-1,0.28899083,1,73.0,1,3.0,-1,3.0,0,6.0,-1,5.0,1,0.0,-1,5.61038961,-1,1.49350649,-1
2024,3,Lisa dANN,Cream City Cowtippers,6,9,1,51.0,-1,25.0,-1,4.0,-1,72.0,-1,23.0,-1,26.0,-1,4.0,1,0.22972973,-1,70.0,-1,6.0,1,3.0,0,5.0,1,1.0,-1,2.0,1,4.43478261,1,1.44927536,1
2024,3,Pfaadt Ass Trouts,Delray Beach Air Biscuits,7,7,2,64.0,1,36.0,1,11.0,1,114.0,1,36.0,-1,24.0,-1,2.0,-1,0.29090909,1,93.0,1,4.0,0,3.0,-1,4.0,1,0.0,-1,0.0,0,4.87218045,-1,1.38721805,-1
2024,3,Delray Beach Air Biscuits,Pfaadt Ass Trouts,7,7,2,51.0,-1,30.0,-1,7.0,-1,98.0,-1,39.0,1,30.0,1,3.0,1,0.23394495,-1,79.0,-1,4.0,0,4.0,1,5.0,-1,4.0,1,0.0,0,4.24596774,1,1.23387097,1
2024,3,Brandon Hyde,Cash Betts Only,7,9,0,52.0,-1,32.0,1,8.0,1,86.0,1,25.0,1,14.0,-1,4.0,1,0.26130653,-1,72.0,-1,7.0,1,4.0,-1,6.0,-1,3.0,1,1.0,-1,3.72413793,-1,1.18965517,-1
2024,3,Cash Betts Only,Brandon Hyde,9,7,0,58.0,1,29.0,-1,4.0,-1,79.0,-1,20.0,-1,22.0,1,3.0,-1,0.26605505,1,78.0,1,5.0,-1,5.0,1,3.0,1,1.0,-1,4.0,1,3.375,1,1.17613636,1
2024,3,MOArch Redbirds,The G.O.A.T,9,6,1,51.0,1,32.0,1,6.0,1,84.0,1,31.0,1,23.0,1,11.0,1,0.23287671,-1,69.0,1,4.0,-1,3.0,-1,7.0,-1,0.0,-1,2.0,0,4.37837838,-1,1.25675676,1
2024,3,The G.O.A.T,MOArch Redbirds,6,9,1,50.0,-1,24.0,-1,5.0,-1,71.0,-1,23.0,-1,14.0,-1,6.0,-1,0.25641026,1,60.0,-1,6.0,1,7.0,1,1.0,1,3.0,1,2.0,0,3.55909091,1,1.28181818,-1
2024,4,Daisy + Shay Bel-Airs,Lisa dANN,9,6,1,34.0,-1,25.0,-1,5.0,1,51.0,-1,18.0,-1,30.0,1,11.0,1,0.16831683,-1,79.0,1,7.0,0,6.0,-1,2.0,1,3.0,1,1.0,1,2.4893617,1,1.08510638,1
2024,4,Lisa dANN,Daisy + Shay Bel-Airs,6,9,1,48.0,1,27.0,1,3.0,-1,67.0,1,19.0,1,27.0,-1,8.0,-1,0.23529412,1,61.0,-1,7.0,0,7.0,1,4.0,-1,2.0,-1,0.0,-1,3.24,-1,1.13333333,-1
2024,4,Delray Beach Air Biscuits,Smokin' Bases,6,9,1,52.0,-1,31.0,1,9.0,-1,87.0,-1,24.0,-1,19.0,-1,4.0,-1,0.23744292,-1,78.0,-1,6.0,0,4.0,-1,3.0,1,5.0,1,3.0,1,3.19905213,1,1.29383886,1
2024,4,Smokin' Bases,Delray Beach Air Biscuits,9,6,1,54.0,1,28.0,-1,10.0,1,96.0,1,29.0,1,31.0,1,5.0,1,0.26470588,1,89.0,1,6.0,0,6.0,1,4.0,-1,1.0,-1,1.0,-1,3.6,-1,1.3625,-1
2024,4,Cash Betts Only,Cream City Cowtippers,8,6,2,66.0,1,36.0,1,4.0,-1,89.0,1,22.0,0,21.0,1,8.0,1,0.28085106,1,62.0,-1,3.0,-1,3.0,-1,3.0,0,4.0,1,3.0,1,3.06486486,-1,1.18378378,-1
