RK,Team,W,L,T,PCT,H,R,HR,TB,RBI,BB,SB,AVG,K,QS,W,L,SV,HD,ERA,WHIP
1,Moooooose-Yeti Bombers,165,106,17,0.602,1267,752,231,2282,709,466,99,0.2701,1759,140,118,88,34,20,3.82,1.209
2,Smokin' Bases,157,112,19,0.578,1332,801,270,2441,828,536,35,0.2894,1686,115,107,98,57,31,4.095,1.205
3,Delray Beach Air Biscuits,143,122,23,0.536,1327,779,239,2379,729,439,87,0.2817,1496,89,93,88,108,30,4.202,1.289
4,Shay Bel-Air GMY's,140,128,20,0.521,1331,778,232,2349,709,534,132,0.2761,1686,118,103,85,61,29,4.076,1.241
5,Magic Man,134,124,30,0.517,1308,747,212,2271,713,478,68,0.2758,1721,138,108,83,53,14,4.065,1.25
6,Buck Showalter,134,133,21,0.502,1232,764,234,2215,668,510,104,0.271,1905,132,122,109,42,38,4.435,1.31
7,A Song of Bryce and Fire,128,142,18,0.476,1215,747,274,2341,750,558,35,0.2617,1663,117,101,105,17,53,4.242,1.289
8,Sale For The Title,117,149,22,0.444,1255,685,242,2264,715,430,80,0.2697,1773,121,104,83,48,16,3.985,1.2
9,Napoli Headed Hoes,117,152,19,0.439,1189,757,220,2161,695,539,52,0.2642,1388,100,89,77,97,13,4.137,1.259
10,Betts Against Us,99,166,23,0.384,1230,721,213,2180,669,469,80,0.2705,1597,111,102,101,46,31,4.104,1.29
