year,week,team,opponent,cats_won,cats_lost,cats_tied,H_value,H_result,R_value,R_result,HR_value,HR_result,TB_value,TB_result,RBI_value,RBI_result,BB_value,BB_result,SB_value,SB_result,AVG_value,AVG_result,K_value,K_result,QS_value,QS_result,W_value,W_result,L_value,L_result,SV_value,SV_result,HD_value,HD_result,ERA_value,ERA_result,WHIP_value,WHIP_result
2019,1,A Song of  Bryce and Fire,Shay Bel-Air GMY's,7,8,1,85.0,1,53.0,0,21.0,1,167.0,1,61.0,1,40.0,1,1.0,-1,0.2733119,1,101.0,-1,5.0,-1,3.0,-1,10.0,-1,2.0,-1,5.0,1,5.10174419,-1,1.40406977,-1
2019,1,Shay Bel-Air GMY's,A Song of  Bryce and Fire,8,7,1,84.0,-1,53.0,0,12.0,-1,140.0,-1,40.0,-1,34.0,-1,9.0,1,0.25531915,-1,128.0,1,6.0,1,6.0,1,7.0,1,6.0,1,4.0,-1,3.47043702,1,1.10282776,1
2019,1,Delray Beach Air Biscuits,Magic Man,10,3,3,93.0,1,50.0,1,11.0,1,156.0,1,39.0,1,22.0,-1,8.0,0,0.28440367,1,95.0,-1,7.0,1,7.0,0,6.0,0,11.0,1,1.0,-1,4.125,1,1.17708333,1
2019,1,Magic Man,Delray Beach Air Biscuits,3,10,3,83.0,-1,48.0,-1,7.0,-1,122.0,-1,36.0,-1,41.0,1,8.0,0,0.24850299,-1,113.0,1,5.0,-1,7.0,0,6.0,0,0.0,-1,3.0,1,4.59752322,-1,1.47678019,-1
2019,1,Moooooose-Yeli Bombers,Buck Showalter,6,10,0,89.0,1,52.0,-1,13.0,-1,148.0,-1,44.0,-1,40.0,-1,5.0,-1,0.27725857,-1,135.0,1,8.0,1,9.0,1,5.0,1,4.0,-1,3.0,-1,4.2,1,1.36666667,-1
2019,1,Buck Showalter,Moooooose-Yeli Bombers,10,6,0,88.0,-1,61.0,1,22.0,1,174.0,1,55.0,1,49.0,1,8.0,1,0.28115016,1,117.0,-1,5.0,-1,8.0,-1,7.0,-1,6.0,1,5.0,1,4.65814696,-1,1.30351438,1
2019,1,Sale For The Title,Smokin' Bases,3,13,0,87.0,-1,51.0,-1,14.0,-1,147.0,-1,52.0,-1,33.0,-1,10.0,1,0.23966942,-1,126.0,-1,7.0,1,4.0,-1,10.0,-1,2.0,-1,4.0,1,4.32384342,-1,1.39857651,-1
2019,1,Smokin' Bases,Sale For The Title,13,3,0,92.0,1,55.0,1,19.0,1,165.0,1,56.0,1,47.0,1,1.0,-1,0.28660436,1,127.0,1,6.0,-1,7.0,1,4.0,1,3.0,1,3.0,-1,3.00857143,1,1.08,1
2019,1,Betts Against Us,Napoli  Headed Hoes,6,10,0,79.0,-1,35.0,-1,11.0,-1,132.0,-1,32.0,-1,36.0,-1,5.0,-1,0.24233129,-1,120.0,1,13.0,1,6.0,1,10.0,-1,7.0,-1,2.0,1,2.89285714,1,1.06377551,1
2019,1,Napoli  Headed Hoes,Betts Against Us,10,6,0,84.0,1,51.0,1,14.0,1,144.0,1,47.0,1,55.0,1,7.0,1,0.26415094,1,92.0,-1,6.0,-1,5.0,-1,3.0,1,10.0,1,1.0,-1,2.92771084,-1,1.15662651,-1
2019,2,Shay Bel-Air GMY's,Magic Man,10,6,0,72.0,1,38.0,1,13.0,1,132.0,1,42.0,1,28.0,1,9.0,1,0.32876712,1,60.0,-1,4.0,-1,3.0,-1,7.0,-1,4.0,1,3.0,1,6.40677966,-1,1.57627119,-1
2019,2,Magic Man,Shay Bel-Air GMY's,6,10,0,44.0,-1,28.0,-1,4.0,-1,67.0,-1,18.0,-1,23.0,-1,2.0,-1,0.20952381,-1,75.0,1,5.0,1,5.0,1,4.0,1,2.0,-1,0.0,-1,4.69067797,1,1.1440678,1
2019,2,Buck Showalter,A Song of  Bryce and Fire,1,14,1,41.0,-1,25.0,-1,7.0,-1,72.0,-1,22.0,-1,22.0,-1,1.0,-1,0.23295455,-1,75.0,-1,5.0,-1,2.0,-1,7.0,-1,0.0,0,3.0,1,4.95412844,-1,1.34862385,-1
2019,2,A Song of  Bryce and Fire,Buck Showalter,14,1,1,47.0,1,29.0,1,12.0,1,95.0,1,36.0,1,30.0,1,4.0,1,0.23383085,1,82.0,1,6.0,1,8.0,1,4.0,1,0.0,0,1.0,-1,4.10599078,1,1.2718894,1
2019,2,Smokin' Bases,Delray Beach Air Biscuits,5,10,1,49.0,-1,34.0,1,9.0,1,91.0,-1,27.0,-1,22.0,-1,0.0,-1,0.26203209,-1,71.0,-1,5.0,1,3.0,1,7.0,0,4.0,-1,3.0,1,5.44268775,-1,1.38735178,-1
2019,2,Delray Beach Air Biscuits,Smokin' Bases,10,5,1,59.0,1,28.0,-1,8.0,-1,96.0,1,35.0,1,23.0,1,9.0,1,0.29207921,1,73.0,1,3.0,-1,2.0,-1,7.0,0,7.0,1,1.0,-1,4.98058252,1,1.33980583,1
