year,team,player_name,position,eligible_slots,pro_team
2019,Betts Against Us,Mookie Betts,LF,"RF,OF,UTIL,BE,IL,CF",Bos
2019,Betts Against Us,Trea Turner,OF,"SS,2B/SS,IF,UTIL,BE,IL",Wsh
2019,Betts Against Us,Corey Kluber,C,"P,SP,BE,IL",Tex
2019,Betts Against Us,Gleyber Torres,OF,"2B,SS,2B/SS,IF,UTIL,BE,IL",NYY
2019,Betts Against Us,Jose Berrios,C,"P,SP,BE,IL",Min
2019,Betts Against Us,Marcell Ozuna,2B/SS,"LF,OF,UTIL,BE,IL",Atl
2019,Betts Against Us,Vladimir Guerrero Jr.,SS,"3B,1B/3B,IF,UTIL,BE,IL,DH",Tor
2019,Betts Against Us,Robbie Ray,C,"P,SP,BE,IL",Ari
2019,Betts Against Us,Josh Hader,RF,"P,RP,BE,IL",Mil
2019,Betts Against Us,Jake Arrieta,C,"P,SP,BE,IL",Phi
2019,Betts Against Us,Jon Lester,C,"P,SP,BE,IL",ChC
2019,Betts Against Us,Austin Meadows,LF,"RF,OF,UTIL,BE,IL,DH,LF",TB
2019,Betts Against Us,Sonny Gray,C,"P,SP,BE,IL",Cin
2019,Betts Against Us,Jean Segura,OF,"SS,2B/SS,IF,UTIL,BE,IL",Phi
2019,Betts Against Us,Anthony Rizzo,2B,"1B,1B/3B,IF,UTIL,BE,IL",ChC
2019,Betts Against Us,Ty Buttrey,RF,"P,RP,BE,IL",LAA
2019,Betts Against Us,Aaron Nola,C,"P,SP,BE,IL",Phi
2019,Betts Against Us,Luke Jackson,RF,"P,RP,BE,IL",Atl
2019,Betts Against Us,Zach Plesac,C,"P,SP,BE,IL",Cle
2019,Betts Against Us,Jeff Samardzija,C,"P,SP,BE,IL",SF
2019,Betts Against Us,Mitch Haniger,LF,"CF,RF,OF,UTIL,BE,IL",Sea
2019,Betts Against Us,Nicholas Castellanos,LF,"RF,OF,UTIL,BE,IL,DH,LF",FA
2019,Betts Against Us,Hunter Renfroe,2B/SS,"LF,RF,OF,UTIL,BE,IL",TB
2019,Betts Against Us,Travis d'Arnaud,1B,"C,UTIL,BE,IL,1B,1B/3B,IF",Atl
2019,Betts Against Us,Dustin May,C,"P,SP,BE,IL,RP",LAD
2019,Betts Against Us,Ivan Nova,C,"P,SP,BE,IL",Det
2019,Sale For The Title,Max Scherzer,C,"P,SP,BE,IL",Wsh
2019,Sale For The Title,Francisco Lindor,OF,"SS,2B/SS,IF,UTIL,BE,IL",Cle
2019,Sale For The Title,Gerrit Cole,C,"P,SP,BE,IL",NYY
2019,Sale For The Title,George Springer,1B/3B,"CF,RF,OF,UTIL,BE,IL,DH",Hou
2019,Sale For The Title,James Paxton,C,"P,SP,BE,IL",NYY
2019,Sale For The Title,Eugenio Suarez,SS,"3B,1B/3B,IF,UTIL,BE,IL",Cin
2019,Sale For The Title,Jose Abreu,2B,"1B,1B/3B,IF,UTIL,BE,IL,DH",ChW
2019,Sale For The Title,German Marquez,C,"P,SP,BE,IL",Col
2019,Sale For The Title,Felipe Vazquez,RF,"P,RP,BE,IL",Pit
2019,Sale For The Title,Matthew Boyd,C,"P,SP,BE,IL",Det
2019,Sale For The Title,Zach Davies,C,"P,SP,BE,IL",SD
2019,Sale For The Title,Hunter Dozier,SS,"1B,3B,1B/3B,IF,UTIL,BE,IL,DH,RF,OF",KC
2019,Sale For The Title,Masahiro Tanaka,C,"P,SP,BE,IL",NYY
2019,Sale For The Title,Lucas Giolito,C,"P,SP,BE,IL",ChW
